n=1, rho=0.1, Runs: 100, Mean Waiting Time: 0.11145273824579735, CI: (0.1102289371105804, 0.1126765393810143), Variance: 0.23402393622845483
n=1, rho=0.1, Runs: 200, Mean Waiting Time: 0.1111463725693692, CI: (0.11027686236346528, 0.11201588277527312), Variance: 0.23610119176116268
n=2, rho=0.1, Runs: 100, Mean Waiting Time: 0.010259657719824393, CI: (0.010067418170456203, 0.010451897269192583), Variance: 0.011539034810862589
n=2, rho=0.1, Runs: 200, Mean Waiting Time: 0.010122638055234478, CI: (0.009989578107356331, 0.010255698003112625), Variance: 0.011062338841728945
n=4, rho=0.1, Runs: 100, Mean Waiting Time: 0.00022231529458491706, CI: (0.00020778551560120476, 0.00023684507356862936), Variance: 0.00013201171705313366
n=4, rho=0.1, Runs: 200, Mean Waiting Time: 0.0002175858158217941, CI: (0.00020792855307315942, 0.0002272430785704288), Variance: 0.00011655395815168466
n=1, rho=0.2, Runs: 100, Mean Waiting Time: 0.25010499943492276, CI: (0.2487615989564235, 0.25144839991342205), Variance: 0.5630381777936107
n=1, rho=0.2, Runs: 200, Mean Waiting Time: 0.25025618595782106, CI: (0.2493074429146789, 0.25120492900096325), Variance: 0.5626664088850384
n=2, rho=0.2, Runs: 100, Mean Waiting Time: 0.0417367087227933, CI: (0.041452748405194986, 0.04202066904039162), Variance: 0.05038104872766464
n=2, rho=0.2, Runs: 200, Mean Waiting Time: 0.04170049523746769, CI: (0.04149996314718022, 0.04190102732775516), Variance: 0.05025498927621038
n=4, rho=0.2, Runs: 100, Mean Waiting Time: 0.0029724431929788824, CI: (0.0029339919949528882, 0.0030108943910048766), Variance: 0.00184757601389241
n=4, rho=0.2, Runs: 200, Mean Waiting Time: 0.002964761605270139, CI: (0.002937735355985064, 0.002991787854555214), Variance: 0.0018258962158057136
n=1, rho=0.30000000000000004, Runs: 100, Mean Waiting Time: 0.4293142170877698, CI: (0.42781385857721593, 0.43081457559832365), Variance: 1.0543600464551248
n=1, rho=0.30000000000000004, Runs: 200, Mean Waiting Time: 0.4289789664430682, CI: (0.42792485682163817, 0.43003307606449825), Variance: 1.0409653941347103
n=2, rho=0.30000000000000004, Runs: 100, Mean Waiting Time: 0.09885823204882434, CI: (0.09848381904613505, 0.09923264505151362), Variance: 0.13133576079356302
n=2, rho=0.30000000000000004, Runs: 200, Mean Waiting Time: 0.09897736177880924, CI: (0.09871210829249152, 0.09924261526512695), Variance: 0.131782394915026
n=4, rho=0.30000000000000004, Runs: 100, Mean Waiting Time: 0.013140819761148332, CI: (0.01307081154434041, 0.013210827977956254), Variance: 0.00918091141257841
n=4, rho=0.30000000000000004, Runs: 200, Mean Waiting Time: 0.013341411635073264, CI: (0.013291306549064387, 0.013391516721082141), Variance: 0.009415958980412491
n=1, rho=0.4, Runs: 100, Mean Waiting Time: 0.6686905739935629, CI: (0.6670016347649389, 0.6703795132221869), Variance: 1.784979325714935
n=1, rho=0.4, Runs: 200, Mean Waiting Time: 0.6677338402527119, CI: (0.6665401561946637, 0.6689275243107601), Variance: 1.7808030947156577
n=2, rho=0.4, Runs: 100, Mean Waiting Time: 0.1899413460180913, CI: (0.18946703760386227, 0.1904156544323203), Variance: 0.2810055042420032
n=2, rho=0.4, Runs: 200, Mean Waiting Time: 0.19022921730452666, CI: (0.18989377958600961, 0.1905646550230437), Variance: 0.2810246788021695
n=4, rho=0.4, Runs: 100, Mean Waiting Time: 0.037782426390275535, CI: (0.037672596884610755, 0.037892255895940315), Variance: 0.030146153677195198
n=4, rho=0.4, Runs: 200, Mean Waiting Time: 0.037713503935121115, CI: (0.03763613526446649, 0.03779087260577574), Variance: 0.0299173697480076
