n,rho,mu,mean_waiting_time,ci_lower,ci_upper,variance,runs
1,0.5,1,HYPEREXPONENTIAL,332.4264666264283,331.5433054668051,333.30962778605146,60391.21086290678,10
1,0.5,1,HYPEREXPONENTIAL,315.2920204562541,314.68979978888495,315.8942411236232,70274.8070173458,25
1,0.5,1,HYPEREXPONENTIAL,312.8412097003371,312.39263451434044,313.2897848863338,77967.35728496556,50
1,0.5,1,HYPEREXPONENTIAL,351.64433791888075,351.22964471843045,352.05903111933105,99903.14776171888,75
1,0.5,1,HYPEREXPONENTIAL,360.4432124074343,360.08975033103627,360.79667448383236,96721.73762211035,100
1,0.5,1,HYPEREXPONENTIAL,334.4787199108916,334.18482369558615,334.772616126197,83565.32883056223,125
1,0.5,1,HYPEREXPONENTIAL,333.16282606135934,332.88167009271615,333.44398203000253,91751.97270382146,150
2,0.5,1,HYPEREXPONENTIAL,216.60755802514595,216.09500199377388,217.12011405651802,40818.85948414768,10
2,0.5,1,HYPEREXPONENTIAL,221.366800558228,221.027821644256,221.7057794722,44592.073637031805,25
2,0.5,1,HYPEREXPONENTIAL,234.35440048888876,234.1381319231126,234.5706690546649,36292.7517255023,50
2,0.5,1,HYPEREXPONENTIAL,217.45503287483305,217.27936348194606,217.63070226772004,35951.166631008746,75
2,0.5,1,HYPEREXPONENTIAL,231.94070516833463,231.76716891238163,232.11424142428763,46753.53370283516,100
2,0.5,1,HYPEREXPONENTIAL,236.34303020941908,236.18865231311847,236.4974081057197,46254.0366331885,125
2,0.5,1,HYPEREXPONENTIAL,241.99498509647043,241.86027820492012,242.12969198802074,42249.642156135036,150
4,0.5,1,HYPEREXPONENTIAL,163.85844472272706,163.57396763023553,164.14292181521859,25151.88759075657,10
4,0.5,1,HYPEREXPONENTIAL,157.89819833561654,157.77338949425615,158.02300717697693,12133.43512089417,25
4,0.5,1,HYPEREXPONENTIAL,172.1680475306496,172.05555685590377,172.28053820539543,19677.839051772768,50
4,0.5,1,HYPEREXPONENTIAL,156.25089734259328,156.1528922256745,156.34890245951206,22402.951461500004,75
4,0.5,1,HYPEREXPONENTIAL,158.47081366170676,158.38570079385497,158.55592652955855,22538.972245666584,100
4,0.5,1,HYPEREXPONENTIAL,169.4826949275334,169.40723499879732,169.55815485626948,22146.935297301636,125
4,0.5,1,HYPEREXPONENTIAL,162.8485066581412,162.78482361163674,162.91218970464564,18930.783964786944,150
1,0.6,1,HYPEREXPONENTIAL,5090.650791575586,5080.1842870843375,5101.117296066834,8557719.767180625,10
1,0.6,1,HYPEREXPONENTIAL,4999.61320363939,4993.014516232619,5006.211891046161,8500491.656405503,25
1,0.6,1,HYPEREXPONENTIAL,5065.298300343009,5060.613016009568,5069.98358467645,8564314.857109142,50
1,0.6,1,HYPEREXPONENTIAL,4992.433492345676,4988.611783632609,4996.255201058743,8557181.110842949,75
1,0.6,1,HYPEREXPONENTIAL,4969.812933308881,4966.534412715612,4973.09145390215,8398423.911926156,100
1,0.6,1,HYPEREXPONENTIAL,5023.999487031464,5021.0542947138065,5026.9446793491215,8468477.129778415,125
1,0.6,1,HYPEREXPONENTIAL,4990.52125827945,4987.842083528051,4993.200433030849,8409791.92922242,150
2,0.6,1,HYPEREXPONENTIAL,4977.917781297554,4970.546056920055,4985.289505675053,8490289.265901806,10
2,0.6,1,HYPEREXPONENTIAL,4920.314824064518,4915.744260740636,4924.8853873884,8167580.57205423,25
2,0.6,1,HYPEREXPONENTIAL,5039.479564468667,5036.167240855354,5042.791888081981,8560784.143313011,50
2,0.6,1,HYPEREXPONENTIAL,4991.17502496437,4988.502327832321,4993.84772209642,8366724.399397483,75
2,0.6,1,HYPEREXPONENTIAL,4995.138853913302,4992.823305861217,4997.454401965388,8374386.612058112,100
2,0.6,1,HYPEREXPONENTIAL,4959.347595377365,4957.293725363744,4961.401465390986,8251034.60143682,125
2,0.6,1,HYPEREXPONENTIAL,5039.208498539471,5037.304575994853,5041.11242108409,8489945.416388348,150
4,0.6,1,HYPEREXPONENTIAL,4987.157114171705,4982.000144345823,4992.314083997587,8314009.957667318,10
4,0.6,1,HYPEREXPONENTIAL,4976.799882705393,4973.530797620493,4980.068967790294,8351190.208525754,25
4,0.6,1,HYPEREXPONENTIAL,4995.766129703227,4993.447778457185,4998.084480949269,8391132.256779542,50
4,0.6,1,HYPEREXPONENTIAL,5004.598181177274,5002.706755275485,5006.489607079062,8383319.515559834,75
4,0.6,1,HYPEREXPONENTIAL,5012.855447787723,5011.22011845847,5014.4907771169765,8349952.090270377,100
4,0.6,1,HYPEREXPONENTIAL,5017.947932872945,5016.482189866115,5019.413675879775,8384479.6525018765,125
4,0.6,1,HYPEREXPONENTIAL,4984.269396304618,4982.9311819787235,4985.607610630512,8388825.641882576,150
1,0.7,1,HYPEREXPONENTIAL,8608.87285939896,8590.984019024887,8626.761699773033,24940817.117892873,10
1,0.7,1,HYPEREXPONENTIAL,8588.477970531048,8577.234956977049,8599.720984085048,24680538.201657332,25
1,0.7,1,HYPEREXPONENTIAL,8529.657144937402,8521.763530038297,8537.550759836507,24346695.250048336,50
1,0.7,1,HYPEREXPONENTIAL,8502.46952278572,8496.041110175312,8508.897935396126,24240900.260913696,75
1,0.7,1,HYPEREXPONENTIAL,8610.091470622143,8604.472895137465,8615.71004610682,24631477.734510433,100
1,0.7,1,HYPEREXPONENTIAL,8599.414159310068,8594.38628159742,8604.442037022716,24672692.122031856,125
1,0.7,1,HYPEREXPONENTIAL,8605.197941071687,8600.591480839052,8609.804401304322,24802955.74065533,150
2,0.7,1,HYPEREXPONENTIAL,8526.868924368486,8514.553009947997,8539.184838788975,23735479.880117055,10
2,0.7,1,HYPEREXPONENTIAL,8551.99507196426,8544.134972758684,8559.855171169836,24125734.335138384,25
2,0.7,1,HYPEREXPONENTIAL,8612.61506044599,8606.95930685671,8618.270814035272,24937045.63700231,50
2,0.7,1,HYPEREXPONENTIAL,8543.026819634468,8538.454932846,8547.598706422936,24515692.473513145,75
2,0.7,1,HYPEREXPONENTIAL,8560.41448159861,8556.451589433784,8564.377373763435,24530540.888566747,100
2,0.7,1,HYPEREXPONENTIAL,8590.478254125706,8586.918406561792,8594.03810168962,24717463.26725525,125
2,0.7,1,HYPEREXPONENTIAL,8584.158167958592,8580.91626660139,8587.400069315794,24612445.526311055,150
4,0.7,1,HYPEREXPONENTIAL,8564.38356466391,8555.516123083335,8573.251006244487,24552406.88872976,10
4,0.7,1,HYPEREXPONENTIAL,8562.758520721529,8557.159467144194,8568.357574298863,24485810.062599584,25
4,0.7,1,HYPEREXPONENTIAL,8546.165015961758,8542.213367945773,8550.116663977744,24376725.671548717,50
4,0.7,1,HYPEREXPONENTIAL,8566.874288766316,8563.643460654173,8570.105116878458,24470394.682067826,75
4,0.7,1,HYPEREXPONENTIAL,8564.183619924874,8561.3855133646,8566.981726485148,24450707.026981547,100
4,0.7,1,HYPEREXPONENTIAL,8593.556062247679,8591.044587159146,8596.067537336212,24623097.921022423,125
4,0.7,1,HYPEREXPONENTIAL,8562.687154244428,8560.401786944285,8564.97252154457,24469320.139646027,150
1,0.8,1,HYPEREXPONENTIAL,11308.484067521053,11285.127951447079,11331.840183595026,42613083.13098778,10
1,0.8,1,HYPEREXPONENTIAL,11235.169107736605,11220.435658820748,11249.902556652461,42372257.29528821,25
1,0.8,1,HYPEREXPONENTIAL,11267.193072626029,11256.766917496745,11277.619227755313,42454450.391679995,50
1,0.8,1,HYPEREXPONENTIAL,11202.852387008355,11194.366406205323,11211.338367811388,42184947.2618628,75
1,0.8,1,HYPEREXPONENTIAL,11244.25981545988,11236.896138890299,11251.623492029461,42323090.885302626,100
1,0.8,1,HYPEREXPONENTIAL,11259.551687567458,11252.955891518339,11266.147483616578,42448783.531243674,125
1,0.8,1,HYPEREXPONENTIAL,11298.086131789913,11292.068225221563,11304.104038358262,42380935.16672956,150
2,0.8,1,HYPEREXPONENTIAL,11314.447304842332,11297.809468210933,11331.08514147373,43077690.10905595,10
2,0.8,1,HYPEREXPONENTIAL,11265.943687555013,11255.531492484866,11276.35588262516,42282785.3292647,25
2,0.8,1,HYPEREXPONENTIAL,11243.253205195051,11235.894470212048,11250.611940178054,42246599.06990108,50
2,0.8,1,HYPEREXPONENTIAL,11226.044504857991,11220.051138228087,11232.037871487895,42108931.96403528,75
2,0.8,1,HYPEREXPONENTIAL,11238.997158880995,11233.801525699108,11244.192792062882,42170932.740479074,100
2,0.8,1,HYPEREXPONENTIAL,11262.91915119846,11258.254563577042,11267.58373881988,42451605.43749228,125
2,0.8,1,HYPEREXPONENTIAL,11241.23261326387,11236.985011526145,11245.480215001595,42264537.58066145,150
4,0.8,1,HYPEREXPONENTIAL,11287.359951684079,11275.678193161017,11299.04171020714,42546994.71273817,10
4,0.8,1,HYPEREXPONENTIAL,11285.794381027503,11278.419694204,11293.169067851006,42396219.39874349,25
4,0.8,1,HYPEREXPONENTIAL,11274.347914922206,11269.147470183605,11279.548359660806,42234615.410162956,50
4,0.8,1,HYPEREXPONENTIAL,11249.198106432948,11244.952557910337,11253.44365495556,42238449.09352785,75
4,0.8,1,HYPEREXPONENTIAL,11252.840099563971,11249.161194786462,11256.51900434148,42289559.666908175,100
4,0.8,1,HYPEREXPONENTIAL,11222.468955465603,11219.191542552117,11225.74636837909,41991925.753380395,125
4,0.8,1,HYPEREXPONENTIAL,11234.387112159733,11231.39202583421,11237.382198485257,42052697.859659895,150
1,0.9,1,HYPEREXPONENTIAL,13295.155322086268,13267.653092052697,13322.65755211984,59169901.912588716,10
1,0.9,1,HYPEREXPONENTIAL,13319.24477070184,13301.78047086646,13336.70907053722,59547208.20706539,25
1,0.9,1,HYPEREXPONENTIAL,13362.413422515481,13350.07732167008,13374.749523360882,59425372.44990493,50
1,0.9,1,HYPEREXPONENTIAL,13350.75602054043,13340.677993472997,13360.834047607863,59475733.912872314,75
1,0.9,1,HYPEREXPONENTIAL,13314.13328011181,13305.431173186067,13322.835387037552,59140933.30813065,100
1,0.9,1,HYPEREXPONENTIAL,13362.228257078768,13354.420102451748,13370.036411705789,59452099.129506625,125
1,0.9,1,HYPEREXPONENTIAL,13353.268792247254,13346.140792703836,13360.396791790672,59430627.88447174,150
2,0.9,1,HYPEREXPONENTIAL,13263.377520417003,13243.938799648748,13282.816241185259,59044144.30829049,10
2,0.9,1,HYPEREXPONENTIAL,13349.460805283268,13337.141818548014,13361.779792018522,59269965.61943192,25
2,0.9,1,HYPEREXPONENTIAL,13326.954708080119,13318.26170840415,13335.647707756087,59044159.690850876,50
2,0.9,1,HYPEREXPONENTIAL,13343.886327431665,13336.780600125749,13350.99205473758,59183469.591091774,75
2,0.9,1,HYPEREXPONENTIAL,13321.626011771845,13315.472350987007,13327.779672556682,59177793.61103878,100
2,0.9,1,HYPEREXPONENTIAL,13319.41041850292,13313.890321964893,13324.930515040945,59474216.86668827,125
2,0.9,1,HYPEREXPONENTIAL,13320.987358419557,13315.956435327655,13326.01828151146,59277077.79759241,150
4,0.9,1,HYPEREXPONENTIAL,13334.71629375278,13320.958230391852,13348.474357113706,59151873.200400874,10
4,0.9,1,HYPEREXPONENTIAL,13341.421054425635,13332.705243549139,13350.13686530213,59366720.818647146,25
4,0.9,1,HYPEREXPONENTIAL,13363.862948625248,13357.690441449617,13370.03545580088,59490920.43156743,50
4,0.9,1,HYPEREXPONENTIAL,13358.397973214329,13353.358491664401,13363.437454764256,59470520.82390746,75
4,0.9,1,HYPEREXPONENTIAL,13319.615480290724,13315.262744446558,13323.96821613489,59199294.602396816,100
4,0.9,1,HYPEREXPONENTIAL,13318.426394049766,13314.531367109788,13322.321420989743,59247352.471092075,125
4,0.9,1,HYPEREXPONENTIAL,13313.330333704847,13309.777205798062,13316.883461611633,59167613.20683927,150
