,n,rho,mu,distribution,mean_waiting_time,ci_lower,ci_upper,variance,number_of_customers
0,1,0.7,1,HYPEREXPONENTIAL,27.728902902343066,25.51913948593735,29.93866631874878,124.02614571263572,100
1,1,0.7,1,HYPEREXPONENTIAL,163.85567237450383,154.18220770053122,173.52913704847643,14556.680411757861,600
2,1,0.7,1,HYPEREXPONENTIAL,298.5757434782897,286.5876560832642,310.5638308733152,37320.773903301546,1000
3,1,0.7,1,HYPEREXPONENTIAL,1045.9408197715218,1028.9920493565537,1062.8895901864898,298935.3477860151,4000
4,1,0.7,1,HYPEREXPONENTIAL,1702.701760940927,1681.5239400198134,1723.8795818620406,816985.1829331941,7000
5,1,0.7,1,HYPEREXPONENTIAL,2331.4944519802375,2307.0829604759733,2355.9059434845017,1550912.5140853566,10000
6,1,0.7,1,HYPEREXPONENTIAL,3077.720441941375,3047.3527003717345,3108.088183511016,3120263.5675002574,13000
7,1,0.7,1,HYPEREXPONENTIAL,3886.077594348878,3849.952179778683,3922.203008919073,5434802.501937193,16000
8,1,0.7,1,HYPEREXPONENTIAL,4740.697560504191,4699.2107919423415,4782.18432906604,8511797.821962118,19000
9,1,0.7,1,HYPEREXPONENTIAL,2331.4944519802375,2307.0829604759733,2355.9059434845017,1550912.5140853566,10000
10,1,0.7,1,HYPEREXPONENTIAL,2820.2950658236123,2791.9078128002398,2848.682318846985,2516773.780422866,12000
11,1,0.7,1,HYPEREXPONENTIAL,3337.2050187346117,3305.022378490728,3369.3876589784954,3773984.329681089,14000
12,1,0.7,1,HYPEREXPONENTIAL,3886.077594348878,3849.952179778683,3922.203008919073,5434802.501937193,16000
13,1,0.7,1,HYPEREXPONENTIAL,4456.6939021738635,4416.814160037567,4496.5736443101605,7451137.792777772,18000
14,1,0.7,1,HYPEREXPONENTIAL,5014.611438374173,4971.865172134326,5057.357704614021,9512126.488981053,20000
15,1,0.7,1,HYPEREXPONENTIAL,5548.296554643834,5503.477272516673,5593.115836770994,11502930.632501828,22000
16,1,0.7,1,HYPEREXPONENTIAL,6085.408839234274,6038.529509034311,6132.288169434237,13728846.46442082,24000
17,1,0.7,1,HYPEREXPONENTIAL,6636.7769600412685,6587.657818758275,6685.8961013242615,16328198.068438482,26000
18,1,0.7,1,HYPEREXPONENTIAL,7185.753509258562,7134.580433126175,7236.926585390949,19085667.293749906,28000
19,1,0.7,1,HYPEREXPONENTIAL,7725.282744300876,7672.331503081378,7778.2339855203745,21894867.26748405,30000
20,1,0.7,1,HYPEREXPONENTIAL,7830.623283354476,7777.337972343874,7883.908594365079,22461746.160671152,32000
21,1,0.7,1,HYPEREXPONENTIAL,7830.623283354476,7777.337972343874,7883.908594365079,22461746.160671152,34000
22,1,0.7,1,HYPEREXPONENTIAL,7830.623283354476,7777.337972343874,7883.908594365079,22461746.160671152,36000
23,1,0.7,1,HYPEREXPONENTIAL,7830.623283354476,7777.337972343874,7883.908594365079,22461746.160671152,38000
24,1,0.7,1,HYPEREXPONENTIAL,15.633872286468627,14.079097250645937,17.188647322291317,61.39836501872247,100
25,1,0.7,1,HYPEREXPONENTIAL,236.20602105012648,224.20303411600264,248.20900798425032,22411.80906777139,600
26,1,0.7,1,HYPEREXPONENTIAL,386.6495050670533,372.68644206410943,400.6125680699972,50630.50223374142,1000
27,1,0.7,1,HYPEREXPONENTIAL,1435.3806639395714,1410.8582479805211,1459.9030798986216,625788.2255172818,4000
28,1,0.7,1,HYPEREXPONENTIAL,2347.380282141125,2318.0340779845487,2376.7264862977013,1568756.3832422686,7000
