,n,rho,mu,distribution,mean_waiting_time,std_dev,ci_lower,ci_upper,variance,number_of_customers
0,1,0.7,1,M_D_N,0.7740892996532261,0.8524999137775514,0.6049348216455154,0.9432437776609369,0.7267561029907326,100
1,1,0.7,1,M_D_N,1.1026404202771414,1.2389180145647274,1.0033074449188408,1.201973395635442,1.5349178468130058,600
2,1,0.7,1,M_D_N,1.1096451603387991,1.340950715960909,1.0264328851989064,1.1928574354786918,1.798148822636075,1000
3,1,0.7,1,M_D_N,1.0030595708437213,1.228322332275528,0.9649826422988556,1.041136499388587,1.5087757519667921,4000
4,1,0.7,1,M_D_N,1.0992639077895856,1.3274728732544383,1.0681610828023873,1.130366732776784,1.762184229226394,7000
5,1,0.7,1,M_D_N,1.0761439176205159,1.29734584427781,1.050713327987443,1.1015745072535887,1.683106239664904,10000
6,1,0.7,1,M_D_N,1.0566072238175854,1.2793325903898864,1.0346134214497649,1.078601026185406,1.636691876833697,13000
7,1,0.7,1,M_D_N,1.0488636713596138,1.2579649845410095,1.029370185424342,1.0683571572948856,1.5824759023312622,16000
8,1,0.7,1,M_D_N,1.0365945251360336,1.243230202640054,1.0189158176052537,1.0542732326668134,1.5456213367564293,19000
9,1,0.7,1,M_D_N,1.0761439176205159,1.29734584427781,1.050713327987443,1.1015745072535887,1.683106239664904,10000
10,1,0.7,1,M_D_N,1.0608705472123674,1.2867672042814826,1.0378454611645724,1.0838956332601624,1.6557698380143828,12000
11,1,0.7,1,M_D_N,1.0678393717452106,1.279318430655102,1.0466459890275128,1.0890327544629084,1.6366556470138327,14000
12,1,0.7,1,M_D_N,1.0488636713596138,1.2579649845410095,1.029370185424342,1.0683571572948856,1.5824759023312622,16000
13,1,0.7,1,M_D_N,1.0379764302785228,1.247785245180133,1.0197466728443343,1.0562061877127114,1.556968018089245,18000
14,1,0.7,1,M_D_N,1.0336881788654124,1.2383181036603188,1.0165252421876636,1.0508511155431612,1.533431725852888,20000
15,1,0.7,1,M_D_N,1.0514935881036072,1.2727929808053002,1.0346738814434246,1.0683132947637897,1.6200019719872416,22000
16,1,0.7,1,M_D_N,1.0779774626636012,1.3082993393562312,1.0614246615857372,1.0945302637414651,1.7116471613599513,24000
17,1,0.7,1,M_D_N,1.0870239598463074,1.350113677556713,1.070612320191311,1.1034355995013039,1.8228069423257125,26000
18,1,0.7,1,M_D_N,1.0929863578140209,1.3743413233586899,1.076887967430947,1.1090847481970947,1.8888140730913148,28000
19,1,0.7,1,M_D_N,1.1011350006487564,1.3903104484392068,1.0854018111708825,1.1168681901266302,1.9329631430392284,30000
20,1,0.7,1,M_D_N,1.1026799887017311,1.386298642064642,1.0874903890575387,1.1178695883459235,1.9218239249902702,32000
21,1,0.7,1,M_D_N,1.1027080854257996,1.3869994534519288,1.0879645925729677,1.1174515782786314,1.9237674838759493,34000
22,1,0.7,1,M_D_N,1.1028464184603015,1.3828908823642405,1.0885607898281824,1.1171320470924206,1.9123871925261475,36000
23,1,0.7,1,M_D_N,1.1152345316529788,1.397458761437793,1.101183470395049,1.1292855929109087,1.9528909899192504,38000
24,1,0.8,1,M_D_N,1.6695092552747814,1.758127978088552,1.3206585215702824,2.0183599889792805,3.0910139873377394,100
25,1,0.8,1,M_D_N,2.007370391819206,1.8672673593151239,1.8576581264314322,2.1570826572069794,3.486687391163676,600
26,1,0.8,1,M_D_N,1.9468090156687636,1.8521563754759265,1.8318740340294368,2.0617439973080907,3.4304832392161213,1000
27,1,0.8,1,M_D_N,1.9341892303058221,1.918907045944089,1.8747047736996363,1.993673686912008,3.6822042509738693,4000
28,1,0.8,1,M_D_N,2.064245112092915,2.232653929705583,2.011933802512351,2.116556421673479,4.984743569829783,7000
29,1,0.8,1,M_D_N,1.9358466809318655,2.1136161838109278,1.894415549788698,1.977277812075033,4.46737337246747,10000
30,1,0.8,1,M_D_N,1.9242766590174842,2.09959449235534,1.8881812240506044,1.960372093984364,4.4082970323288775,13000
31,1,0.8,1,M_D_N,1.9253289300513774,2.068317770279613,1.893278178353126,1.9573796817496287,4.277938398854429,16000
32,1,0.8,1,M_D_N,1.9036115551520334,2.059887901795008,1.8743199921859033,1.9329031181181635,4.24313816796144,19000
33,1,0.8,1,M_D_N,1.9358466809318655,2.1136161838109278,1.894415549788698,1.977277812075033,4.46737337246747,10000
34,1,0.8,1,M_D_N,1.9366925440797778,2.0953486482544075,1.8991989067181319,1.9741861814414237,4.390485957741573,12000
35,1,0.8,1,M_D_N,1.9221111746001214,2.077420102958687,1.8876963188046825,1.9565260303955603,4.315674284176882,14000
36,1,0.8,1,M_D_N,1.9253289300513774,2.068317770279613,1.893278178353126,1.9573796817496287,4.277938398854429,16000
37,1,0.8,1,M_D_N,1.947158379649969,2.090175725654737,1.9166215572114138,1.9776952020885241,4.368834564116306,18000
