,n,rho,mu,distribution,mean_waiting_time,std_dev,ci_lower,ci_upper,variance,number_of_customers
0,1,0.7,1,M_M_N,0.9604934666561746,1.3970181556960253,0.6832947560464296,1.2376921772659197,1.951659727344324,100
1,1,0.7,1,M_M_N,1.796552082997998,2.274822213633324,1.614163211228511,1.978940954767485,5.174816103639616,600
2,1,0.7,1,M_M_N,1.6593965110823607,2.1645626109551004,1.5250752587078842,1.7937177634568373,4.685331296744761,1000
3,1,0.7,1,M_M_N,2.609079668850576,3.8136953649251253,2.4908584152866813,2.727300922414471,14.544272336451384,4000
4,1,0.7,1,M_M_N,2.449355710180394,3.465881012607502,2.3681497641053495,2.530561656255439,12.012331193553203,7000
5,1,0.7,1,M_M_N,2.391044716549289,3.2840033501087005,2.326671641383091,2.4554177917154876,10.784678003525167,10000
6,1,0.7,1,M_M_N,2.3068616524181453,3.1537202999650367,2.252644084975674,2.3610792198606165,9.945951730411561,13000
7,1,0.7,1,M_M_N,2.3513612940057045,3.1588669366336304,2.3024113399470623,2.4003112480643467,9.978440323357137,16000
8,1,0.7,1,M_M_N,2.3260832876177906,3.0926914625852966,2.2821052795756107,2.3700612956599705,9.56474048274798,19000
9,1,0.7,1,M_M_N,2.391044716549289,3.2840033501087005,2.326671641383091,2.4554177917154876,10.784678003525167,10000
10,1,0.7,1,M_M_N,2.3511119323642706,3.206084628067882,2.2937430670464787,2.4084807976820626,10.278978642333168,12000
11,1,0.7,1,M_M_N,2.3305519085602873,3.1728979723962953,2.2779892006043267,2.383114616516248,10.067281543236522,14000
12,1,0.7,1,M_M_N,2.3513612940057045,3.1588669366336304,2.3024113399470623,2.4003112480643467,9.978440323357137,16000
13,1,0.7,1,M_M_N,2.3440994152426944,3.1234547346306867,2.298466705296068,2.3897321251893207,9.755969479286854,18000
14,1,0.7,1,M_M_N,2.381943789059835,3.1468823170697804,2.338328387023355,2.425559191096315,9.90286831748647,20000
15,1,0.7,1,M_M_N,2.4437335321162372,3.193318895259198,2.401534456617962,2.4859326076145125,10.197285566819426,22000
16,1,0.7,1,M_M_N,2.452703811707046,3.2632395837686197,2.4114168110378316,2.4939908123762606,10.648732581074393,24000
17,1,0.7,1,M_M_N,2.4522815815385504,3.2934866616130605,2.412246792470457,2.492316370606644,10.847054390223143,26000
18,1,0.7,1,M_M_N,2.4363927061226693,3.259700676033641,2.3982100995729985,2.47457531267234,10.625648497334177,28000
19,1,0.7,1,M_M_N,2.412783653144325,3.2341037879270025,2.3761855194370747,2.4493817868515753,10.459427311083786,30000
20,1,0.7,1,M_M_N,2.4044360492646146,3.2083771496839177,2.3692820334324316,2.4395900650967977,10.2936839346139,32000
21,1,0.7,1,M_M_N,2.4004345532135845,3.204362480994317,2.366372899318305,2.434496207108864,10.267938909604053,34000
22,1,0.7,1,M_M_N,2.3779237502329194,3.177776171369793,2.345096481762847,2.410751018702992,10.098261395325661,36000
23,1,0.7,1,M_M_N,2.3560366867439857,3.1507061930438747,2.324357207573774,2.387716165914197,9.926949514885026,38000
24,1,0.8,1,M_M_N,3.8883868691469927,2.6136208755748016,3.3697877845337443,4.406985953760241,6.831014081240394,100
25,1,0.8,1,M_M_N,4.357760519827028,4.462713713435441,3.999952637371161,4.715568402282896,19.915813688084743,600
26,1,0.8,1,M_M_N,4.015238463097056,4.209059554979909,3.754046595565816,4.276430330628296,17.716182337367666,1000
27,1,0.8,1,M_M_N,3.4993387694201465,3.855313373247159,3.379827393640431,3.618850145199862,14.863441205938388,4000
28,1,0.8,1,M_M_N,3.2715385261244196,3.763512016470902,3.183359055233585,3.359717997015254,14.164022698120874,7000
29,1,0.8,1,M_M_N,3.4985497534121945,4.312695310953155,3.4140122454307518,3.5830872613936373,18.599340845117332,10000
30,1,0.8,1,M_M_N,3.5379031262562624,4.204418235561214,3.465622357018286,3.610183895494239,17.677132699519667,13000
31,1,0.8,1,M_M_N,3.4905424281412243,4.084589079010853,3.427247439217415,3.5538374170650338,16.68386794437473,16000
32,1,0.8,1,M_M_N,3.7615949191017473,4.500212435048425,3.6976019922112524,3.825587845992242,20.251911960564474,19000
33,1,0.8,1,M_M_N,3.4985497534121945,4.312695310953155,3.4140122454307518,3.5830872613936373,18.599340845117332,10000
34,1,0.8,1,M_M_N,3.5079913685619686,4.2332677706438355,3.4322423485697633,3.583740388554174,17.920556017971826,12000
35,1,0.8,1,M_M_N,3.495551077781255,4.153681653248249,3.426740558949214,3.564361596613296,17.253071276531106,14000
36,1,0.8,1,M_M_N,3.4905424281412243,4.084589079010853,3.427247439217415,3.5538374170650338,16.68386794437473,16000
37,1,0.8,1,M_M_N,3.543027283044131,4.122780606181951,3.4827947304511375,3.603259835637125,16.99731992671002,18000
38,1,0.8,1,M_M_N,3.922726878760303,4.741442275230912,3.8570110717391115,3.9884426857814947,22.48127484934689,20000
39,1,0.8,1,M_M_N,3.9338346863058566,4.704912696263461,3.871660198697628,3.9960091739140853,22.136203479461113,22000
40,1,0.8,1,M_M_N,3.980247072595784,4.79489872043019,3.9195812889175317,4.040912856274036,22.991053739183073,24000
41,1,0.8,1,M_M_N,3.981535344768682,4.737021848398593,3.9239533078586843,4.03911738167868,22.43937599220562,26000
42,1,0.8,1,M_M_N,3.970805902245758,4.705433836101145,3.9156886547848737,4.025923149706642,22.141107585925536,28000
43,1,0.8,1,M_M_N,3.9119029934795395,4.6303354446172875,3.8595046640430732,3.964301322916006,21.440006329679175,30000
44,1,0.8,1,M_M_N,3.9258270844336574,4.638774057100462,3.8750002866361184,3.9766538822311963,21.51822475282828,32000
45,1,0.8,1,M_M_N,3.9837821715024884,4.680402936423922,3.9340305388902332,4.033533804114743,21.90617164728567,34000
46,1,0.8,1,M_M_N,3.973788514258572,4.67208129528269,3.9255246785686793,4.022052349948465,21.828343629730384,36000
47,1,0.8,1,M_M_N,3.927124670831558,4.637155434127637,3.8804993557486056,3.9737499859145102,21.503210520259476,38000
48,1,0.9,1,M_M_N,5.256289107567589,3.2365151530830785,4.614094284511373,5.898483930623805,10.475030336136383,100
49,1,0.9,1,M_M_N,3.7763720279246993,3.7708363060392514,3.4740369375760616,4.078707118273337,14.219206446943748,600
