,n,rho,mu,distribution,mean_waiting_time,ci_lower,ci_upper,variance,number_of_customers
0,1,0.7,1,SHORTEST_JOB_FIRST,0.6772376240166065,0.46505003006844187,0.889425217964771,1.143567134206019,100
1,1,0.7,1,SHORTEST_JOB_FIRST,1.100221559323461,0.9482453236696207,1.2521977949773013,3.5929370937841933,600
2,1,0.7,1,SHORTEST_JOB_FIRST,1.2602457344135973,1.0752829439646403,1.4452085248625544,8.884225591744949,1000
3,1,0.7,1,SHORTEST_JOB_FIRST,1.0733501530963254,1.006247477245094,1.1404528289475568,4.685765554375088,4000
4,1,0.7,1,SHORTEST_JOB_FIRST,1.1554759806305532,1.102048860026181,1.2089031012349254,5.199662734126096,7000
5,1,0.7,1,SHORTEST_JOB_FIRST,1.233155406210142,1.1832738037350226,1.2830370086852614,6.475591798316511,10000
6,1,0.7,1,SHORTEST_JOB_FIRST,1.272806985068307,1.2278649793588325,1.3177489907777815,6.833940473624818,13000
7,1,0.7,1,SHORTEST_JOB_FIRST,1.2742618944830595,1.234529847187064,1.313993941779055,6.574155537551363,16000
8,1,0.7,1,SHORTEST_JOB_FIRST,1.2863845856803378,1.2486101639877356,1.32415900737294,7.056636239429957,19000
9,1,0.7,1,SHORTEST_JOB_FIRST,1.233155406210142,1.1832738037350226,1.2830370086852614,6.475591798316511,10000
10,1,0.7,1,SHORTEST_JOB_FIRST,1.2719842283666234,1.2247808733836905,1.3191875833495563,6.958941374830986,12000
11,1,0.7,1,SHORTEST_JOB_FIRST,1.2799991869417957,1.2366359389631512,1.3233624349204403,6.851731878550918,14000
12,1,0.7,1,SHORTEST_JOB_FIRST,1.2742618944830595,1.234529847187064,1.313993941779055,6.574155537551363,16000
13,1,0.7,1,SHORTEST_JOB_FIRST,1.2744598610870939,1.2369624524879292,1.3119572696862585,6.5874968755091485,18000
14,1,0.7,1,SHORTEST_JOB_FIRST,1.286101363468906,1.2493357356810817,1.3228669912567304,7.0366381121433434,20000
15,1,0.7,1,SHORTEST_JOB_FIRST,1.2837862194541696,1.248610396277448,1.3189620426308912,7.085446897454405,22000
16,1,0.7,1,SHORTEST_JOB_FIRST,1.2728792657186834,1.2396153262124112,1.3061432052249555,6.912236939401639,24000
17,1,0.7,1,SHORTEST_JOB_FIRST,1.265071026792048,1.2335434804959753,1.2965985730881207,6.7269325435216905,26000
18,1,0.7,1,SHORTEST_JOB_FIRST,1.2805853842006243,1.2496008054712036,1.311569962930045,6.99705829207862,28000
19,1,0.7,1,SHORTEST_JOB_FIRST,1.2701403732935317,1.2404629658958473,1.2998177806912161,6.87767966500129,30000
20,1,0.7,1,SHORTEST_JOB_FIRST,1.270938867131806,1.2423160963788795,1.2995616378847326,6.824082767703596,32000
21,1,0.7,1,SHORTEST_JOB_FIRST,1.2873614643835831,1.259292702307327,1.3154302264598392,6.972657471360828,34000
22,1,0.7,1,SHORTEST_JOB_FIRST,1.305979430962921,1.2782857912648657,1.333673070660976,7.18682698184964,36000
23,1,0.7,1,SHORTEST_JOB_FIRST,1.30152882731111,1.2746788605633201,1.3283787940589,7.130947708420433,38000
24,1,0.7,1,SHORTEST_JOB_FIRST,1.6772596233866062,0.9923931731883348,2.3621260735848777,11.913338243471648,100
25,1,0.7,1,SHORTEST_JOB_FIRST,1.7881644950856874,1.416274639954097,2.160054350217278,21.514284624438545,600
26,1,0.7,1,SHORTEST_JOB_FIRST,1.675247424114688,1.4293893186972204,1.9211055295321555,15.697117221113135,1000
27,1,0.7,1,SHORTEST_JOB_FIRST,1.256108695359895,1.1734088031663312,1.3388085875534588,7.117226130953119,4000
28,1,0.7,1,SHORTEST_JOB_FIRST,1.2788229411644898,1.2095401027891028,1.3481057795398768,8.743855662297243,7000
29,1,0.7,1,SHORTEST_JOB_FIRST,1.2931061751060833,1.2376398340503885,1.348572516161778,8.00677650021529,10000
30,1,0.7,1,SHORTEST_JOB_FIRST,1.3034084865522992,1.2549531538565906,1.351863819248008,7.94418684413657,13000
31,1,0.7,1,SHORTEST_JOB_FIRST,1.2893443752447347,1.246826113435778,1.3318626370536912,7.528511027384393,16000
32,1,0.7,1,SHORTEST_JOB_FIRST,1.2809052994714047,1.242451938899222,1.3193586600435876,7.312580883788921,19000
33,1,0.7,1,SHORTEST_JOB_FIRST,1.2931061751060833,1.2376398340503885,1.348572516161778,8.00677650021529,10000
34,1,0.7,1,SHORTEST_JOB_FIRST,1.2928978347117193,1.2434223376951878,1.3423733317282507,7.645005016301599,12000
35,1,0.7,1,SHORTEST_JOB_FIRST,1.3186532998225433,1.2717696524448143,1.3655369472002723,8.009391698802965,14000
36,1,0.7,1,SHORTEST_JOB_FIRST,1.2893443752447347,1.246826113435778,1.3318626370536912,7.528511027384393,16000
37,1,0.7,1,SHORTEST_JOB_FIRST,1.2910639878874015,1.2512735139471338,1.3308544618276692,7.417817357561568,18000
38,1,0.7,1,SHORTEST_JOB_FIRST,1.2680350418152344,1.2309938138596668,1.305076269770802,7.142528716217974,20000
39,1,0.7,1,SHORTEST_JOB_FIRST,1.3197050231139364,1.2793612174862934,1.3600488287415795,9.320354564662676,22000
40,1,0.7,1,SHORTEST_JOB_FIRST,1.3346508226616904,1.2962595870336309,1.37304205828975,9.207366541447005,24000
41,1,0.7,1,SHORTEST_JOB_FIRST,1.3372255799763921,1.3008042154721349,1.3736469444806494,8.977370584675459,26000
42,1,0.7,1,SHORTEST_JOB_FIRST,1.3338843656242543,1.2993392651590683,1.3684294660894403,8.697555736468347,28000
43,1,0.7,1,SHORTEST_JOB_FIRST,1.3148556672173124,1.2820822936523235,1.3476290407823013,8.387495955425226,30000
44,1,0.7,1,SHORTEST_JOB_FIRST,1.3148109464447082,1.283201041665763,1.3464208512236533,8.322758948928039,32000
45,1,0.7,1,SHORTEST_JOB_FIRST,1.3050452524144438,1.2747240899784416,1.335366414850446,8.136610124289584,34000
46,1,0.7,1,SHORTEST_JOB_FIRST,1.3068416637464888,1.2775109478753472,1.3361723796176304,8.061622175030799,36000
47,1,0.7,1,SHORTEST_JOB_FIRST,1.3129358649129326,1.2843726565419649,1.3414990732839003,8.070003509518097,38000
48,1,0.7,1,SHORTEST_JOB_FIRST,1.4869521126375052,1.0973976087422492,1.876506616532761,3.854412123104959,100
49,1,0.7,1,SHORTEST_JOB_FIRST,1.1724585907541183,1.018027082701043,1.3268900988071937,3.709967217959177,600
50,1,0.7,1,SHORTEST_JOB_FIRST,1.135759967288026,1.0202039567729189,1.2513159778031333,3.4676552959610167,1000
51,1,0.7,1,SHORTEST_JOB_FIRST,1.236642329428068,1.1656104031976895,1.3076742556584464,5.250589450854861,4000
52,1,0.7,1,SHORTEST_JOB_FIRST,1.2658470394872394,1.2059123376368763,1.3257817413376025,6.543473311007689,7000
53,1,0.7,1,SHORTEST_JOB_FIRST,1.3222242459669196,1.2631651826344008,1.3812833092994383,9.077615429487475,10000
54,1,0.7,1,SHORTEST_JOB_FIRST,1.3483842541130127,1.2959563510668077,1.4008121571592176,9.300178105526417,13000
55,1,0.7,1,SHORTEST_JOB_FIRST,1.3369820305233628,1.2906591405103414,1.3833049205363843,8.936127987214435,16000
56,1,0.7,1,SHORTEST_JOB_FIRST,1.315650363529837,1.2743699098023102,1.356930817257364,8.427349520673166,19000
57,1,0.7,1,SHORTEST_JOB_FIRST,1.3222242459669196,1.2631651826344008,1.3812833092994383,9.077615429487475,10000
58,1,0.7,1,SHORTEST_JOB_FIRST,1.3773831556913922,1.321555737495223,1.4332105738875616,9.734026652540996,12000
59,1,0.7,1,SHORTEST_JOB_FIRST,1.333147129898203,1.2829809415398357,1.3833133182565702,9.170203228265802,14000
60,1,0.7,1,SHORTEST_JOB_FIRST,1.3369820305233628,1.2906591405103414,1.3833049205363843,8.936127987214435,16000
61,1,0.7,1,SHORTEST_JOB_FIRST,1.3305626644210653,1.2875061335777254,1.3736191952644052,8.685523137862514,18000
62,1,0.7,1,SHORTEST_JOB_FIRST,1.3186045641953694,1.2785164671442986,1.3586926612464403,8.365889544626643,20000
63,1,0.7,1,SHORTEST_JOB_FIRST,1.3130999226831244,1.2755321896487888,1.35066765571746,8.081810939378267,22000
64,1,0.7,1,SHORTEST_JOB_FIRST,1.3102787230215986,1.2740911464311584,1.346466299612039,8.180695970324933,24000
65,1,0.7,1,SHORTEST_JOB_FIRST,1.3198368638868143,1.2846146467191568,1.3550590810544718,8.395955138807151,26000
66,1,0.7,1,SHORTEST_JOB_FIRST,1.3196071145190957,1.2859777152382204,1.3532365137999711,8.24256763846899,28000
67,1,0.7,1,SHORTEST_JOB_FIRST,1.339570701637738,1.3045167547551846,1.3746246485202915,9.59541749705707,30000
68,1,0.7,1,SHORTEST_JOB_FIRST,1.3237083943572667,1.2903844739582617,1.3570323147562717,9.249816517870718,32000
69,1,0.7,1,SHORTEST_JOB_FIRST,1.327765592233208,1.2953781326186213,1.3601530518477944,9.28336832130544,34000
70,1,0.7,1,SHORTEST_JOB_FIRST,1.340283677710043,1.30779092434045,1.3727764310796362,9.893504204367897,36000
71,1,0.7,1,SHORTEST_JOB_FIRST,1.3368224792053456,1.3054356971119097,1.3682092612987815,9.744360259272652,38000
72,1,0.7,1,SHORTEST_JOB_FIRST,1.4690406795596826,1.0779167882304819,1.8601645708888834,3.8855310075887273,100
73,1,0.7,1,SHORTEST_JOB_FIRST,1.1449568256742093,0.9902762431187688,1.2996374082296498,3.7219440927933913,600
74,1,0.7,1,SHORTEST_JOB_FIRST,1.0724947925501946,0.9439249932046134,1.2010645918957759,4.292682544769674,1000
75,1,0.7,1,SHORTEST_JOB_FIRST,1.3969252947392603,1.3098198367369698,1.4840307527415508,7.895717748300779,4000
76,1,0.7,1,SHORTEST_JOB_FIRST,1.3886155667104134,1.319232234128002,1.4579988992928248,8.76923984517386,7000
77,1,0.7,1,SHORTEST_JOB_FIRST,1.3678632232265557,1.313378050121982,1.4223483963311294,7.72601132510554,10000
78,1,0.7,1,SHORTEST_JOB_FIRST,1.3506221841679515,1.3037135081636557,1.3975308601722474,7.445136092564968,13000
79,1,0.7,1,SHORTEST_JOB_FIRST,1.3399418602685287,1.2983964969767237,1.3814872235603337,7.187919576197513,16000
80,1,0.7,1,SHORTEST_JOB_FIRST,1.3221890414724138,1.2840553154840577,1.3603227674607699,7.191517894279601,19000
81,1,0.7,1,SHORTEST_JOB_FIRST,1.3678632232265557,1.313378050121982,1.4223483963311294,7.72601132510554,10000
82,1,0.7,1,SHORTEST_JOB_FIRST,1.3469465712133604,1.2985754341745794,1.3953177082521413,7.307520390615567,12000
83,1,0.7,1,SHORTEST_JOB_FIRST,1.3524657638995206,1.3077519131495179,1.3971796146495232,7.285190243667175,14000
84,1,0.7,1,SHORTEST_JOB_FIRST,1.3399418602685287,1.2983964969767237,1.3814872235603337,7.187919576197513,16000
85,1,0.7,1,SHORTEST_JOB_FIRST,1.3194671594612322,1.280730895523534,1.3582034233989304,7.029968424583673,18000
86,1,0.7,1,SHORTEST_JOB_FIRST,1.3212663503184146,1.284335314524786,1.358197386112043,7.100095997608078,20000
87,1,0.7,1,SHORTEST_JOB_FIRST,1.3469224900229615,1.310417191658416,1.383427788387507,7.631159190136306,22000
88,1,0.7,1,SHORTEST_JOB_FIRST,1.338200993920581,1.303207598455608,1.373194389385554,7.649682706220996,24000
89,1,0.7,1,SHORTEST_JOB_FIRST,1.3294518117610317,1.2962819935378707,1.3626216299841927,7.4459979361992605,26000
90,1,0.7,1,SHORTEST_JOB_FIRST,1.3317914031476028,1.2995924842025788,1.3639903220926268,7.556259810445942,28000
91,1,0.7,1,SHORTEST_JOB_FIRST,1.3304908912356093,1.2995506328520778,1.3614311496191407,7.4754596140186385,30000
92,1,0.7,1,SHORTEST_JOB_FIRST,1.3425161720896017,1.3124475211328892,1.3725848230463142,7.5309337772850276,32000
93,1,0.7,1,SHORTEST_JOB_FIRST,1.3297062036136642,1.300859356563066,1.3585530506642625,7.364589025423959,34000
94,1,0.7,1,SHORTEST_JOB_FIRST,1.3159741663652986,1.2881328101029508,1.3438155226276465,7.263699845029443,36000
95,1,0.7,1,SHORTEST_JOB_FIRST,1.325754383413821,1.2981783841145567,1.3533303827130854,7.521808391248472,38000
96,1,0.7,1,SHORTEST_JOB_FIRST,2.4599916311657806,1.1249517617723641,3.795031500559197,45.2699651373507,100
97,1,0.7,1,SHORTEST_JOB_FIRST,1.3590457972866632,1.0753042842435594,1.642787310329767,12.524027362173543,600
98,1,0.7,1,SHORTEST_JOB_FIRST,1.3181936530512917,1.1041585410036046,1.5322287650989788,11.896546020059509,1000
99,1,0.7,1,SHORTEST_JOB_FIRST,1.3810290961802771,1.2684415412950154,1.4936166510655389,13.191119439889118,4000
100,1,0.7,1,SHORTEST_JOB_FIRST,1.3499335531919958,1.2750559642902686,1.424811142093723,10.213047218094648,7000
