,n,rho,mu,distribution,mean_waiting_time,ci_lower,ci_upper,variance,number_of_customers
0,1,0.7,1,HYPEREXPONENTIAL,0.3261845397392367,0.20161315235663474,0.4507559271218387,0.3941470600589036,100
1,1,0.7,1,HYPEREXPONENTIAL,0.9674315709874076,0.8475459524137479,1.0873171895610674,2.2357972834644255,600
2,1,0.7,1,HYPEREXPONENTIAL,0.8668463250904054,0.7814890272379883,0.9522036229428225,1.8920480290735704,1000
3,1,0.7,1,HYPEREXPONENTIAL,0.9822496143170074,0.9351426473356463,1.0293565812983685,2.3092511218402674,4000
4,1,0.7,1,HYPEREXPONENTIAL,1.1929948617842663,1.143012135335787,1.2429775882327456,4.550839525428539,7000
5,1,0.7,1,HYPEREXPONENTIAL,1.1941504620710377,1.1534246041644531,1.2348763199776223,4.316573633901306,10000
6,1,0.7,1,HYPEREXPONENTIAL,1.2110089851689605,1.1755616851932804,1.2464562851446406,4.251406297396516,13000
7,1,0.7,1,HYPEREXPONENTIAL,1.1979201855854904,1.1665167749463006,1.2293235962246802,4.106877260968413,16000
8,1,0.7,1,HYPEREXPONENTIAL,1.1935230096900473,1.1651101379461626,1.221935881433932,3.9923843460458848,19000
9,1,0.7,1,HYPEREXPONENTIAL,1.1941504620710377,1.1534246041644531,1.2348763199776223,4.316573633901306,10000
10,1,0.7,1,HYPEREXPONENTIAL,1.2408090546206265,1.2031202729719632,1.2784978362692898,4.436307487066736,12000
11,1,0.7,1,HYPEREXPONENTIAL,1.206386574215369,1.172491897125031,1.2402812513057069,4.186197877994481,14000
12,1,0.7,1,HYPEREXPONENTIAL,1.1979201855854904,1.1665167749463006,1.2293235962246802,4.106877260968413,16000
13,1,0.7,1,HYPEREXPONENTIAL,1.20236268093673,1.172812188952031,1.231913172921429,4.0911682800583975,18000
14,1,0.7,1,HYPEREXPONENTIAL,1.2172571824198375,1.188676636353589,1.245837728486086,4.252284256403392,20000
15,1,0.7,1,HYPEREXPONENTIAL,1.1960599093113737,1.169277175526023,1.2228426430967245,4.107603522581246,22000
16,1,0.7,1,HYPEREXPONENTIAL,1.2207354797114862,1.1947088253893123,1.24676213403366,4.231632462597938,24000
17,1,0.7,1,HYPEREXPONENTIAL,1.2311075366676807,1.2058789540753452,1.2563361192600162,4.307471684862361,26000
18,1,0.7,1,HYPEREXPONENTIAL,1.2255352069063836,1.2014780424525002,1.249592371360267,4.218064092585011,28000
19,1,0.7,1,HYPEREXPONENTIAL,1.2238565169059632,1.2006714420364801,1.2470415917754463,4.19765781178969,30000
20,1,0.7,1,HYPEREXPONENTIAL,1.2144725914970844,1.1922018909938785,1.2367432920002903,4.131318676664405,32000
21,1,0.7,1,HYPEREXPONENTIAL,1.223791749896514,1.2021868499268336,1.2453966498661946,4.131010819609346,34000
22,1,0.7,1,HYPEREXPONENTIAL,1.214158453782648,1.1933483445373017,1.2349685630279943,4.058128872134656,36000
23,1,0.7,1,HYPEREXPONENTIAL,1.209384748460069,1.1891606486000081,1.22960884832013,4.04574167747821,38000
24,1,0.7,1,HYPEREXPONENTIAL,1.4558420640850278,1.0178252459250285,1.893858882245027,4.87307685661587,100
25,1,0.7,1,HYPEREXPONENTIAL,1.6118106509591348,1.4307561536940048,1.7928651482242648,5.099374183711422,600
26,1,0.7,1,HYPEREXPONENTIAL,1.4120683981182878,1.279539712322476,1.5445970839140994,4.561110805688835,1000
27,1,0.7,1,HYPEREXPONENTIAL,1.1908563789117859,1.1352693526224995,1.2464434052010722,3.215494422718217,4000
28,1,0.7,1,HYPEREXPONENTIAL,1.248915395645266,1.2047208705886354,1.2931099207018968,3.5578577404601615,7000
29,1,0.7,1,HYPEREXPONENTIAL,1.2325078516830223,1.1957514386296157,1.269264264736429,3.5161299459698467,10000
30,1,0.7,1,HYPEREXPONENTIAL,1.2754651017361394,1.241634042774327,1.3092961606979516,3.872553930123447,13000
31,1,0.7,1,HYPEREXPONENTIAL,1.3029262869147689,1.2714224294668723,1.3344301443626654,4.133191756932944,16000
32,1,0.7,1,HYPEREXPONENTIAL,1.2866089409722232,1.257966498154419,1.3152513837900275,4.05716052888942,19000
33,1,0.7,1,HYPEREXPONENTIAL,1.2325078516830223,1.1957514386296157,1.269264264736429,3.5161299459698467,10000
34,1,0.7,1,HYPEREXPONENTIAL,1.2841332195916613,1.2485266638888444,1.3197397752944782,3.959655239547571,12000
35,1,0.7,1,HYPEREXPONENTIAL,1.3244014706682008,1.2902806406113498,1.3585223007250518,4.242246763472373,14000
36,1,0.7,1,HYPEREXPONENTIAL,1.3029262869147689,1.2714224294668723,1.3344301443626654,4.133191756932944,16000
37,1,0.7,1,HYPEREXPONENTIAL,1.2773292329951493,1.2481410961025898,1.3065173698877088,3.9914497001017955,18000
38,1,0.7,1,HYPEREXPONENTIAL,1.2756208253102548,1.2478983628287021,1.3033432877918074,4.00078167911662,20000
39,1,0.7,1,HYPEREXPONENTIAL,1.27623978940669,1.2499964793701424,1.3024830994432375,3.943809519214975,22000
