,n,rho,mu,distribution,mean_waiting_time,ci_lower,ci_upper,variance,number_of_customers,t_stat,p_value
0,1,0.7,1,M_M_N,1.7914162622305165,1.4345704404712303,2.148262083989803,3.2343195134099947,100,-7.565648655729617,3.860117658756317e-14
1,1,0.7,1,M_M_N,1.8347698924002391,1.6508727612652976,2.0186670235351807,5.260755955555598,600,-7.565648655729617,3.860117658756317e-14
2,1,0.7,1,M_M_N,2.210984340636744,2.046556689239554,2.375411992033934,7.021025451752251,1000,-7.565648655729617,3.860117658756317e-14
3,1,0.7,1,M_M_N,2.547788253912523,2.4417047707907664,2.65387173703428,11.711065754288683,4000,-7.565648655729617,3.860117658756317e-14
4,1,0.7,1,M_M_N,2.75905788740196,2.6707840282226614,2.847331746581258,14.194361582503262,7000,-7.565648655729617,3.860117658756317e-14
5,1,0.7,1,M_M_N,2.7507138134228666,2.67730206648247,2.8241255603632633,14.02586931565953,10000,-7.565648655729617,3.860117658756317e-14
6,1,0.7,1,M_M_N,2.5625806622565994,2.5026779309238876,2.6224833935893113,12.141142052550327,13000,-7.565648655729617,3.860117658756317e-14
7,1,0.7,1,M_M_N,2.491179732294766,2.437268355060171,2.545091109529361,12.103722006265416,16000,-7.565648655729617,3.860117658756317e-14
8,1,0.7,1,M_M_N,2.5045508612196383,2.4553178709600396,2.553783851479237,11.987110555281705,19000,-7.565648655729617,3.860117658756317e-14
9,1,0.7,1,M_M_N,2.7507138134228666,2.67730206648247,2.8241255603632633,14.02586931565953,10000,-7.565648655729617,3.860117658756317e-14
10,1,0.7,1,M_M_N,2.6453051439597655,2.5815080942165674,2.7091021937029636,12.71155363644612,12000,-7.565648655729617,3.860117658756317e-14
11,1,0.7,1,M_M_N,2.54885628816951,2.4902895080641834,2.6074230682748363,12.498544693557673,14000,-7.565648655729617,3.860117658756317e-14
12,1,0.7,1,M_M_N,2.491179732294766,2.437268355060171,2.545091109529361,12.103722006265416,16000,-7.565648655729617,3.860117658756317e-14
13,1,0.7,1,M_M_N,2.454991124655864,2.4050456443132067,2.5049366049985213,11.687195270576622,18000,-7.565648655729617,3.860117658756317e-14
14,1,0.7,1,M_M_N,2.5077928589591667,2.4600222436240506,2.5555634742942828,11.879630014380846,20000,-7.565648655729617,3.860117658756317e-14
15,1,0.7,1,M_M_N,2.4666237506326256,2.4216866882842427,2.5115608129810085,11.563466982365313,22000,-7.565648655729617,3.860117658756317e-14
16,1,0.7,1,M_M_N,2.473341302001177,2.430705911833514,2.51597669216884,11.355643128423667,24000,-7.565648655729617,3.860117658756317e-14
17,1,0.7,1,M_M_N,2.4621605747023545,2.4216657583709607,2.5026553910337483,11.097766822510664,26000,-7.565648655729617,3.860117658756317e-14
18,1,0.7,1,M_M_N,2.4296774205104366,2.391305824055084,2.468049016965789,10.731094943683647,28000,-7.565648655729617,3.860117658756317e-14
19,1,0.7,1,M_M_N,2.468182844813156,2.430638101583877,2.505727588042435,11.007490116852514,30000,-7.565648655729617,3.860117658756317e-14
20,1,0.7,1,M_M_N,2.497743784462445,2.460876061237248,2.534611507687642,11.321750452584771,32000,-7.565648655729617,3.860117658756317e-14
21,1,0.7,1,M_M_N,2.567267769293517,2.5298385885220447,2.6046969500649895,12.398594484570907,34000,-7.565648655729617,3.860117658756317e-14
22,1,0.7,1,M_M_N,2.5502288036141545,2.514190754503945,2.586266852724364,12.170254494747072,36000,-7.565648655729617,3.860117658756317e-14
23,1,0.7,1,M_M_N,2.5386614966474133,2.5038400590378567,2.57348293425697,11.993698894604007,38000,-7.565648655729617,3.860117658756317e-14
24,1,0.7,1,M_M_N,1.6344463130695066,1.135962065063175,2.1329305610758382,6.311383460267515,100,-7.565648655729617,3.860117658756317e-14
25,1,0.7,1,M_M_N,1.7277731923492823,1.5508668926048237,1.9046794920937409,4.868384203734827,600,-7.565648655729617,3.860117658756317e-14
26,1,0.7,1,M_M_N,1.7721030170595646,1.629843641036532,1.9143623930825973,5.255483042795878,1000,-7.565648655729617,3.860117658756317e-14
27,1,0.7,1,M_M_N,2.213602796029314,2.1258267846161663,2.3013788074424615,8.017750961728174,4000,-7.565648655729617,3.860117658756317e-14
28,1,0.7,1,M_M_N,2.453083398218039,2.3684234372351,2.5377433592009777,13.05592855562742,7000,-7.565648655729617,3.860117658756317e-14
29,1,0.7,1,M_M_N,2.2779255640588025,2.213286955763079,2.342564172354526,10.873833151817768,10000,-7.565648655729617,3.860117658756317e-14
30,1,0.7,1,M_M_N,2.25114122344011,2.195845508362003,2.306436938518217,10.345446706239317,13000,-7.565648655729617,3.860117658756317e-14
31,1,0.7,1,M_M_N,2.2426358416237706,2.1931711908017815,2.2921004924457598,10.189385246542937,16000,-7.565648655729617,3.860117658756317e-14
32,1,0.7,1,M_M_N,2.188429597194622,2.1444933324856703,2.2323658619035736,9.546591654326631,19000,-7.565648655729617,3.860117658756317e-14
33,1,0.7,1,M_M_N,2.2779255640588025,2.213286955763079,2.342564172354526,10.873833151817768,10000,-7.565648655729617,3.860117658756317e-14
34,1,0.7,1,M_M_N,2.249126452101229,2.191448582031026,2.306804322171432,10.390007763334943,12000,-7.565648655729617,3.860117658756317e-14
35,1,0.7,1,M_M_N,2.313447862186788,2.259301702602345,2.3675940217712315,10.682971491764789,14000,-7.565648655729617,3.860117658756317e-14
36,1,0.7,1,M_M_N,2.2426358416237706,2.1931711908017815,2.2921004924457598,10.189385246542937,16000,-7.565648655729617,3.860117658756317e-14
37,1,0.7,1,M_M_N,2.1861860937305595,2.140753282361025,2.231618905100094,9.670682723880788,18000,-7.565648655729617,3.860117658756317e-14
38,1,0.7,1,M_M_N,2.1615387146131297,2.1192701634915077,2.203807265734752,9.300707079363445,20000,-7.565648655729617,3.860117658756317e-14
39,1,0.7,1,M_M_N,2.166353177815584,2.126250991415631,2.206455364215537,9.209049580557414,22000,-7.565648655729617,3.860117658756317e-14
40,1,0.7,1,M_M_N,2.1360546110603225,2.098183747707062,2.1739254744135827,8.959456478279371,24000,-7.565648655729617,3.860117658756317e-14
