,n,rho,mu,distribution,mean_waiting_time,ci_lower,ci_upper,variance,number_of_customers
0,1,0.7,1,SHORTEST_JOB_FIRST,9.357866698992746,7.857252737659204,10.858480660326288,57.195209389269905,100
1,1,0.7,1,SHORTEST_JOB_FIRST,4.3247330175429495,3.895430886520922,4.754035148564977,28.66977837997723,600
2,1,0.7,1,SHORTEST_JOB_FIRST,3.051749943573573,2.7701601136405287,3.3333397735066175,20.591347661694616,1000
3,1,0.7,1,SHORTEST_JOB_FIRST,2.6196304554430636,2.501831047341,2.737429863545127,14.4406617140214,4000
4,1,0.7,1,SHORTEST_JOB_FIRST,2.5598832448755604,2.4761866884058445,2.6435798013452763,12.760474301929515,7000
5,1,0.7,1,SHORTEST_JOB_FIRST,2.507377676876789,2.43950016723757,2.575255186516008,11.990863814500209,10000
6,1,0.7,1,SHORTEST_JOB_FIRST,2.473068906703355,2.4129209775958453,2.533216835810865,12.240739307468449,13000
7,1,0.7,1,SHORTEST_JOB_FIRST,2.4087245467319645,2.3559092425657573,2.4615398508981716,11.616563152869736,16000
8,1,0.7,1,SHORTEST_JOB_FIRST,2.4726768448533556,2.4230207656275673,2.522332924079144,12.194020836988948,19000
9,1,0.7,1,SHORTEST_JOB_FIRST,2.507377676876789,2.43950016723757,2.575255186516008,11.990863814500209,10000
10,1,0.7,1,SHORTEST_JOB_FIRST,2.470844711531696,2.407727482644698,2.5339619404186937,12.442088605970985,12000
11,1,0.7,1,SHORTEST_JOB_FIRST,2.470378815531508,2.4127445187312286,2.528013112331787,12.103716670224669,14000
12,1,0.7,1,SHORTEST_JOB_FIRST,2.4087245467319645,2.3559092425657573,2.4615398508981716,11.616563152869736,16000
13,1,0.7,1,SHORTEST_JOB_FIRST,2.421416194164375,2.3714490216987305,2.4713833666300196,11.697349347756724,18000
14,1,0.7,1,SHORTEST_JOB_FIRST,2.4674241048745285,2.419456390219687,2.51539181952937,11.977861840347277,20000
15,1,0.7,1,SHORTEST_JOB_FIRST,2.4233396236294706,2.37850608045088,2.4681731668080613,11.51025203419016,22000
16,1,0.7,1,SHORTEST_JOB_FIRST,2.383557875074288,2.3414455738446747,2.425670176303901,11.078710157610344,24000
17,1,0.7,1,SHORTEST_JOB_FIRST,2.3855504427832,2.345187083294753,2.4259138022716473,11.025831223241125,26000
18,1,0.7,1,SHORTEST_JOB_FIRST,2.374228879465848,2.3357630781865337,2.4126946807451626,10.783850728829838,28000
19,1,0.7,1,SHORTEST_JOB_FIRST,2.376114762808815,2.338915493839196,2.4133140317784343,10.805847591100315,30000
20,1,0.7,1,SHORTEST_JOB_FIRST,2.3982688437133133,2.3620044045727053,2.4345332828539212,10.954255630589296,32000
21,1,0.7,1,SHORTEST_JOB_FIRST,2.385797817538599,2.3507788160755534,2.420816819001645,10.853238068425245,34000
22,1,0.7,1,SHORTEST_JOB_FIRST,2.388693168749756,2.354727250565798,2.422659086933714,10.810949351398861,36000
23,1,0.7,1,SHORTEST_JOB_FIRST,2.394233190770402,2.3611990559688434,2.4272673255719606,10.794079707202789,38000
24,1,0.7,1,SHORTEST_JOB_FIRST,1.1103025339370813,0.8037925257728591,1.4168125421013036,2.38622289448895,100
25,1,0.7,1,SHORTEST_JOB_FIRST,2.735665330191188,2.439218803595491,3.0321118567868854,13.670707134791417,600
26,1,0.7,1,SHORTEST_JOB_FIRST,2.8311525708663208,2.6001437303367565,3.062161411395885,13.858238806195347,1000
27,1,0.7,1,SHORTEST_JOB_FIRST,2.3544860434737265,2.2601701202418414,2.4488019667056116,9.257013953243158,4000
28,1,0.7,1,SHORTEST_JOB_FIRST,2.241725995148886,2.1741274213318467,2.3093245689659256,8.323897115724828,7000
29,1,0.7,1,SHORTEST_JOB_FIRST,2.151281531448387,2.0965802866615184,2.2059827762352557,7.787410868553595,10000
30,1,0.7,1,SHORTEST_JOB_FIRST,2.1088584638007353,2.062048138141252,2.1556687894602184,7.413949363239342,13000
31,1,0.7,1,SHORTEST_JOB_FIRST,2.2054010634135985,2.161025230689047,2.24977689613815,8.200703665814574,16000
32,1,0.7,1,SHORTEST_JOB_FIRST,2.1977055428596772,2.157047759589026,2.2383633261303286,8.175032261575787,19000
33,1,0.7,1,SHORTEST_JOB_FIRST,2.151281531448387,2.0965802866615184,2.2059827762352557,7.787410868553595,10000
34,1,0.7,1,SHORTEST_JOB_FIRST,2.098671154884823,2.0499263690004788,2.1474159407691675,7.420852123635552,12000
35,1,0.7,1,SHORTEST_JOB_FIRST,2.1073831432675556,2.0622992632161776,2.1524670233189336,7.406266289611437,14000
36,1,0.7,1,SHORTEST_JOB_FIRST,2.2054010634135985,2.161025230689047,2.24977689613815,8.200703665814574,16000
37,1,0.7,1,SHORTEST_JOB_FIRST,2.197543767351745,2.1559702368484195,2.23911729785507,8.097514348075592,18000
38,1,0.7,1,SHORTEST_JOB_FIRST,2.210547880026727,2.1708313062378854,2.2502644538155687,8.211543478079715,20000
39,1,0.7,1,SHORTEST_JOB_FIRST,2.168654994232354,2.131383026021687,2.2059269624430207,7.955058223283654,22000
40,1,0.7,1,SHORTEST_JOB_FIRST,2.1521345528397173,2.116692204481792,2.1875769011976427,7.84722729229565,24000
41,1,0.7,1,SHORTEST_JOB_FIRST,2.1654117274250453,2.1313683742297207,2.19945508062037,7.843346285408875,26000
42,1,0.7,1,SHORTEST_JOB_FIRST,2.1471589064567755,2.114506509475042,2.179811303438509,7.770597897872794,28000
43,1,0.7,1,SHORTEST_JOB_FIRST,2.1637325170997133,2.1318256457957414,2.195639388403685,7.949841470953396,30000
44,1,0.7,1,SHORTEST_JOB_FIRST,2.163205503706593,2.132386556482988,2.194024450930198,7.91145822974994,32000
45,1,0.7,1,SHORTEST_JOB_FIRST,2.1644483323165264,2.134415770976777,2.194480893656276,7.9824564573461405,34000
46,1,0.7,1,SHORTEST_JOB_FIRST,2.1458034636070558,2.116807802958432,2.1747991242556797,7.878492593435095,36000
47,1,0.7,1,SHORTEST_JOB_FIRST,2.1599270390795366,2.1317036777034,2.1881504004556733,7.8791110310117745,38000
48,1,0.7,1,SHORTEST_JOB_FIRST,1.0250791423895365,0.7352185273701715,1.3149397574089015,2.1340279713827264,100
49,1,0.7,1,SHORTEST_JOB_FIRST,1.6620044185042882,1.4988008510610962,1.8252079859474801,4.14340649654093,600
50,1,0.7,1,SHORTEST_JOB_FIRST,1.7095794257967087,1.578397265409243,1.8407615861841744,4.468897543684937,1000
51,1,0.7,1,SHORTEST_JOB_FIRST,2.127708358389312,2.045426910761491,2.2099898060171332,7.045384921332883,4000
52,1,0.7,1,SHORTEST_JOB_FIRST,2.2832938903011177,2.212927557047729,2.3536602235545065,9.019479555860276,7000
53,1,0.7,1,SHORTEST_JOB_FIRST,2.2740288959978443,2.2148580463887066,2.333199745606982,9.112011951478658,10000
54,1,0.7,1,SHORTEST_JOB_FIRST,2.248241747926914,2.1972524679970533,2.2992310278567745,8.796786431034487,13000
55,1,0.7,1,SHORTEST_JOB_FIRST,2.353772479791182,2.3027533723346187,2.4047915872477454,10.839863179830074,16000
56,1,0.7,1,SHORTEST_JOB_FIRST,2.402764890298572,2.3555509265867824,2.4499788540103618,11.024096495463327,19000
57,1,0.7,1,SHORTEST_JOB_FIRST,2.2740288959978443,2.2148580463887066,2.333199745606982,9.112011951478658,10000
58,1,0.7,1,SHORTEST_JOB_FIRST,2.2658428151502545,2.2124090613308667,2.3192765689696424,8.917206292123483,12000
