,n,rho,mu,distribution,mean_waiting_time,ci_lower,ci_upper,variance,number_of_customers
0,1,0.7,1,HYPEREXPONENTIAL,30.100696285989667,26.25769159717636,33.94370097480297,375.1142110683793,100
1,1,0.7,1,HYPEREXPONENTIAL,127.85193382162672,122.24478013203203,133.4590875112214,4890.836756192194,600
2,1,0.7,1,HYPEREXPONENTIAL,203.12731003692454,195.93727095906812,210.31734911478097,13424.970552940287,1000
3,1,0.7,1,HYPEREXPONENTIAL,490.20385800056306,475.59030878868333,504.8174072124428,111050.15139602608,2000
4,1,0.7,1,HYPEREXPONENTIAL,750.621974776983,734.0717682126589,767.1721813413072,213737.77703423722,3000
5,1,0.7,1,HYPEREXPONENTIAL,974.3129461452737,956.9485928413831,991.6772994491644,313774.8315059417,4000
6,1,0.7,1,HYPEREXPONENTIAL,1189.9998883959368,1171.543463387819,1208.4563134040545,443158.06619439845,5000
7,1,0.7,1,HYPEREXPONENTIAL,1432.2564859882052,1411.586452955634,1452.9265190207764,667055.770017365,6000
8,1,0.7,1,HYPEREXPONENTIAL,1674.9297742460083,1652.3537606421808,1697.5057878498358,928423.5608340248,7000
9,1,0.7,1,HYPEREXPONENTIAL,1920.424165191912,1896.0514585699643,1944.7968718138595,1236715.7364104807,8000
10,1,0.7,1,HYPEREXPONENTIAL,2163.23086536632,2137.3203122370705,2189.1414184955693,1572471.7906652603,9000
11,1,0.7,1,HYPEREXPONENTIAL,2404.5169436746264,2377.208557219385,2431.825330129868,1940844.5422163147,10000
12,1,0.7,1,HYPEREXPONENTIAL,2647.9969402380384,2619.2768864171076,2676.7169940589692,2361410.0901984437,11000
13,1,0.7,1,HYPEREXPONENTIAL,2910.2376034938593,2879.6401139318345,2940.835093055884,2923943.8872837564,12000
14,1,0.7,1,HYPEREXPONENTIAL,3176.2916368504925,3143.8992522375697,3208.6840214634153,3550194.3727204916,13000
15,1,0.7,1,HYPEREXPONENTIAL,3444.8880802239264,3410.7905451385777,3478.985615309275,4236456.207786988,14000
16,1,0.7,1,HYPEREXPONENTIAL,3713.0338184535535,3677.382524688045,3748.685112219062,4962214.939047252,15000
17,1,0.7,1,HYPEREXPONENTIAL,3983.6319161491597,3946.465276087456,4020.7985562108634,5752606.806999367,16000
18,1,0.7,1,HYPEREXPONENTIAL,4251.458249375038,4212.942979602943,4289.973519147133,6563821.771993374,17000
19,1,0.7,1,HYPEREXPONENTIAL,4525.7357736889335,4485.781069664018,4565.690477713849,7479175.903628596,18000
20,1,0.7,1,HYPEREXPONENTIAL,4800.539821766206,4759.212325998862,4841.86731753355,8446567.603888577,19000
21,1,0.7,1,HYPEREXPONENTIAL,2404.5169436746264,2377.208557219385,2431.825330129868,1940844.5422163147,10000
22,1,0.7,1,HYPEREXPONENTIAL,2910.2376034938593,2879.6401139318345,2940.835093055884,2923943.8872837564,12000
23,1,0.7,1,HYPEREXPONENTIAL,3444.8880802239264,3410.7905451385777,3478.985615309275,4236456.207786988,14000
24,1,0.7,1,HYPEREXPONENTIAL,3983.6319161491597,3946.465276087456,4020.7985562108634,5752606.806999367,16000
25,1,0.7,1,HYPEREXPONENTIAL,4525.7357736889335,4485.781069664018,4565.690477713849,7479175.903628596,18000
26,1,0.7,1,HYPEREXPONENTIAL,5083.448507357988,5040.623693266275,5126.273321449701,9547116.37851443,20000
27,1,0.7,1,HYPEREXPONENTIAL,5656.764307411794,5611.022078693104,5702.506536130484,11981559.554531213,22000
28,1,0.7,1,HYPEREXPONENTIAL,6235.113954597709,6186.655907173087,6283.572002022332,14669086.6341379,24000
29,1,0.7,1,HYPEREXPONENTIAL,6795.851915032286,6745.263163540725,6846.4406665238475,17319870.92594555,26000
30,1,0.7,1,HYPEREXPONENTIAL,7344.2839142338935,7291.900317864679,7396.667510603108,19999305.898121912,28000
31,1,0.7,1,HYPEREXPONENTIAL,7890.138866305776,7836.052972567468,7944.224760044084,22843258.181584407,30000
32,1,0.7,1,HYPEREXPONENTIAL,7943.061186958019,7888.808070641489,7997.314303274548,23132610.319744565,32000
33,1,0.7,1,HYPEREXPONENTIAL,7943.061186958019,7888.808070641489,7997.314303274548,23132610.319744565,34000
34,1,0.7,1,HYPEREXPONENTIAL,7943.061186958019,7888.808070641489,7997.314303274548,23132610.319744565,36000
35,1,0.7,1,HYPEREXPONENTIAL,7943.061186958019,7888.808070641489,7997.314303274548,23132610.319744565,38000
36,1,0.7,1,HYPEREXPONENTIAL,29.34555070359324,25.340461888292506,33.35063951889397,407.42342131214014,100
37,1,0.7,1,HYPEREXPONENTIAL,192.9997174846786,180.58377489819313,205.41566007116407,23980.467121446924,600
38,1,0.7,1,HYPEREXPONENTIAL,344.59918607277535,330.5073765164784,358.6909956290723,51568.48476854534,1000
39,1,0.7,1,HYPEREXPONENTIAL,656.6016486634536,640.2763585594267,672.9269387674805,138589.25404282412,2000
40,1,0.7,1,HYPEREXPONENTIAL,936.8239053937622,918.8033660430239,954.8444447445005,253401.9901340123,3000
41,1,0.7,1,HYPEREXPONENTIAL,1207.7294770188678,1187.6831697888992,1227.7757842488363,418186.1468237072,4000
42,1,0.7,1,HYPEREXPONENTIAL,1456.3061605914527,1435.1313541172178,1477.4809670656875,583313.9911573123,5000
43,1,0.7,1,HYPEREXPONENTIAL,1710.575887924054,1687.7197436536344,1733.4320321944738,815616.008329545,6000
44,1,0.7,1,HYPEREXPONENTIAL,1991.7223705125446,1966.2969623245033,2017.1477787005858,1177572.0928762713,7000
45,1,0.7,1,HYPEREXPONENTIAL,2272.715727532871,2245.1097462159187,2300.321708849823,1586604.7300797147,8000
46,1,0.7,1,HYPEREXPONENTIAL,2562.5288833231753,2532.6860323891274,2592.371734257223,2085979.873770214,9000
47,1,0.7,1,HYPEREXPONENTIAL,2833.013766339044,2801.7846852774214,2864.242847400667,2538148.8066434273,10000
48,1,0.7,1,HYPEREXPONENTIAL,3112.30676351486,3079.4456323434997,3145.1678946862203,3091476.387402975,11000
49,1,0.7,1,HYPEREXPONENTIAL,3387.512993649524,3353.2398729378274,3421.786114361221,3668637.022261261,12000
50,1,0.7,1,HYPEREXPONENTIAL,3655.7845287530195,3620.3339539042113,3691.2351036018276,4252191.8838526225,13000
51,1,0.7,1,HYPEREXPONENTIAL,3930.0635177633035,3893.286830662861,3966.840204863746,4928354.746722862,14000
52,1,0.7,1,HYPEREXPONENTIAL,4201.60303319331,4163.61350088156,4239.59256550506,5634467.475608831,15000
53,1,0.7,1,HYPEREXPONENTIAL,4473.715075727369,4434.532011597556,4512.898139857182,6393738.607380725,16000
54,1,0.7,1,HYPEREXPONENTIAL,4746.523331464337,4706.155576140804,4786.89108678787,7210412.210655389,17000
55,1,0.7,1,HYPEREXPONENTIAL,5026.932906377666,4985.226487620243,5068.639325135089,8149363.894240183,18000
56,1,0.7,1,HYPEREXPONENTIAL,5313.316656459424,5270.187957196251,5356.445355722597,9198876.807359142,19000
57,1,0.7,1,HYPEREXPONENTIAL,2833.013766339044,2801.7846852774214,2864.242847400667,2538148.8066434273,10000
58,1,0.7,1,HYPEREXPONENTIAL,3387.512993649524,3353.2398729378274,3421.786114361221,3668637.022261261,12000
59,1,0.7,1,HYPEREXPONENTIAL,3930.0635177633035,3893.286830662861,3966.840204863746,4928354.746722862,14000
60,1,0.7,1,HYPEREXPONENTIAL,4473.715075727369,4434.532011597556,4512.898139857182,6393738.607380725,16000
61,1,0.7,1,HYPEREXPONENTIAL,5026.932906377666,4985.226487620243,5068.639325135089,8149363.894240183,18000
62,1,0.7,1,HYPEREXPONENTIAL,5599.7903192057165,5555.311040703543,5644.26959770789,10299039.217244232,20000
63,1,0.7,1,HYPEREXPONENTIAL,6153.8955182024865,6107.2862213902745,6200.504815014699,12440098.246402161,22000
64,1,0.7,1,HYPEREXPONENTIAL,6689.285983981997,6641.004432155081,6737.567535808912,14562424.710093437,24000
65,1,0.7,1,HYPEREXPONENTIAL,7223.344153615925,7173.415450263702,7273.2728569681485,16870863.190428518,26000
66,1,0.7,1,HYPEREXPONENTIAL,7770.159232229486,7718.347410785385,7821.971053673587,19565097.692372706,28000
67,1,0.7,1,HYPEREXPONENTIAL,8320.05784784778,8266.380477706147,8373.735217989413,22499480.31619333,30000
68,1,0.7,1,HYPEREXPONENTIAL,8377.99088244211,8324.11774665349,8431.864018230732,22822554.445329785,32000
69,1,0.7,1,HYPEREXPONENTIAL,8377.99088244211,8324.11774665349,8431.864018230732,22822554.445329785,34000
70,1,0.7,1,HYPEREXPONENTIAL,8377.99088244211,8324.11774665349,8431.864018230732,22822554.445329785,36000
71,1,0.7,1,HYPEREXPONENTIAL,8377.99088244211,8324.11774665349,8431.864018230732,22822554.445329785,38000
72,1,0.7,1,HYPEREXPONENTIAL,27.88642378822748,24.436188399129232,31.336659177325725,302.35638184813945,100
73,1,0.7,1,HYPEREXPONENTIAL,167.01887740136115,158.40263844845586,175.63511635426644,11548.716400939576,600
74,1,0.7,1,HYPEREXPONENTIAL,312.487670654358,299.80233197269547,325.1730093360205,41788.3259739099,1000
75,1,0.7,1,HYPEREXPONENTIAL,613.7224098322451,597.9170780018194,629.5277416626709,129901.74304730873,2000
76,1,0.7,1,HYPEREXPONENTIAL,987.9926906384376,965.7595225734473,1010.2258587034279,385724.4361379246,3000
77,1,0.7,1,HYPEREXPONENTIAL,1361.6734431106893,1335.4492194326717,1387.8976667887068,715659.0355605641,4000
78,1,0.7,1,HYPEREXPONENTIAL,1707.1349978625283,1678.6135515701694,1735.6564441548871,1058294.605690607,5000
79,1,0.7,1,HYPEREXPONENTIAL,2032.317244182837,2002.226359695003,2062.4081286706705,1413675.4330818367,6000
80,1,0.7,1,HYPEREXPONENTIAL,2334.109109160111,2302.9750713937615,2365.2431469264607,1765722.8316362351,7000
81,1,0.7,1,HYPEREXPONENTIAL,2647.358105084967,2614.5893051587427,2680.1269050111914,2235545.1152262734,8000
82,1,0.7,1,HYPEREXPONENTIAL,2955.5632522674296,2921.3067703726347,2989.8197341622244,2748621.9686821406,9000
83,1,0.7,1,HYPEREXPONENTIAL,3254.1771542618335,3218.675962060179,3289.678346463488,3280080.829241329,10000
84,1,0.7,1,HYPEREXPONENTIAL,3552.1773389275263,3515.4025646405044,3588.9521132145483,3871693.3044315395,11000
85,1,0.7,1,HYPEREXPONENTIAL,3853.7357138178672,3815.559895896626,3891.9115317391083,4551705.390927899,12000
86,1,0.7,1,HYPEREXPONENTIAL,4146.061893174191,4106.754969986517,4185.368816361865,5227624.570819712,13000
87,1,0.7,1,HYPEREXPONENTIAL,4421.3348682517435,4381.296658061857,4461.37307844163,5841253.603453748,14000
88,1,0.7,1,HYPEREXPONENTIAL,4698.833156543255,4657.929540281519,4739.736772804992,6532033.345411606,15000
89,1,0.7,1,HYPEREXPONENTIAL,4984.511798057592,4942.499745085927,5026.5238510292575,7350314.065159342,16000
90,1,0.7,1,HYPEREXPONENTIAL,5266.630214657145,5223.601597456598,5309.658831857692,8192296.664171765,17000
91,1,0.7,1,HYPEREXPONENTIAL,5552.89847036319,5508.747720433627,5597.0492202927535,9132592.535041427,18000
92,1,0.7,1,HYPEREXPONENTIAL,5844.392297988091,5799.015005762768,5889.769590213414,10183081.88409649,19000
93,1,0.7,1,HYPEREXPONENTIAL,3254.1771542618335,3218.675962060179,3289.678346463488,3280080.829241329,10000
94,1,0.7,1,HYPEREXPONENTIAL,3853.7357138178672,3815.559895896626,3891.9115317391083,4551705.390927899,12000
95,1,0.7,1,HYPEREXPONENTIAL,4421.3348682517435,4381.296658061857,4461.37307844163,5841253.603453748,14000
96,1,0.7,1,HYPEREXPONENTIAL,4984.511798057592,4942.499745085927,5026.5238510292575,7350314.065159342,16000
97,1,0.7,1,HYPEREXPONENTIAL,5552.89847036319,5508.747720433627,5597.0492202927535,9132592.535041427,18000
98,1,0.7,1,HYPEREXPONENTIAL,6134.079948190881,6087.552467852666,6180.607428529095,11269387.502115883,20000
99,1,0.7,1,HYPEREXPONENTIAL,6696.658642147796,6648.243466599179,6745.073817696413,13422757.073460031,22000
100,1,0.7,1,HYPEREXPONENTIAL,7267.532961265322,7217.08800569662,7317.977916834025,15896691.271650799,24000
101,1,0.7,1,HYPEREXPONENTIAL,7832.095821860366,7779.805220428137,7884.386423292596,18504783.249576412,26000
102,1,0.7,1,HYPEREXPONENTIAL,8392.118385514408,8338.099747658624,8446.137023370193,21267260.850817997,28000
103,1,0.7,1,HYPEREXPONENTIAL,8950.047892341594,8894.349524098694,9005.746260584494,24223201.19097763,30000
104,1,0.7,1,HYPEREXPONENTIAL,8950.047892341594,8894.349524098694,9005.746260584494,24223201.19097763,32000
105,1,0.7,1,HYPEREXPONENTIAL,8950.047892341594,8894.349524098694,9005.746260584494,24223201.19097763,34000
106,1,0.7,1,HYPEREXPONENTIAL,8950.047892341594,8894.349524098694,9005.746260584494,24223201.19097763,36000
107,1,0.7,1,HYPEREXPONENTIAL,8950.047892341594,8894.349524098694,9005.746260584494,24223201.19097763,38000
108,1,0.7,1,HYPEREXPONENTIAL,22.53605980624585,19.257041385230764,25.815078227260933,273.0922664821027,100
109,1,0.7,1,HYPEREXPONENTIAL,135.29166377280126,128.76168127098472,141.8216462746178,6633.187631597475,600
110,1,0.7,1,HYPEREXPONENTIAL,215.3874557196752,207.62875668233002,223.14615475702035,15632.507716473465,1000
111,1,0.7,1,HYPEREXPONENTIAL,476.1323461196877,462.8385219215414,489.426170317834,91898.32687544134,2000
112,1,0.7,1,HYPEREXPONENTIAL,741.2086231440325,724.7735615616439,757.643684726421,210774.04123589804,3000
113,1,0.7,1,HYPEREXPONENTIAL,1033.1513318731118,1012.9890869741604,1053.313576772063,423037.2875914497,4000
114,1,0.7,1,HYPEREXPONENTIAL,1306.554279530612,1284.3682161108181,1328.7403429504056,640359.7021743254,5000
115,1,0.7,1,HYPEREXPONENTIAL,1578.5086125453097,1554.391221845158,1602.6260032454613,908114.1478847107,6000
116,1,0.7,1,HYPEREXPONENTIAL,1854.5460556432424,1828.4670854766098,1880.625025809875,1238889.328254031,7000
117,1,0.7,1,HYPEREXPONENTIAL,2147.6425859833075,2119.1277086957402,2176.157463270875,1692798.942922116,8000
118,1,0.7,1,HYPEREXPONENTIAL,2453.1423001689645,2422.113323423376,2484.171276914553,2255092.7177356603,9000
119,1,0.7,1,HYPEREXPONENTIAL,2758.9823917442695,2725.7522168081377,2792.2125666804013,2873848.8686028025,10000
120,1,0.7,1,HYPEREXPONENTIAL,3056.3531886006926,3021.3938251812942,3091.312552020091,3498871.1353420145,11000
121,1,0.7,1,HYPEREXPONENTIAL,3350.605686911074,3314.098173371895,3387.113200450253,4162573.8655266534,12000
122,1,0.7,1,HYPEREXPONENTIAL,3638.502641366779,3600.684562732973,3676.3207200005845,4839106.848176445,13000
123,1,0.7,1,HYPEREXPONENTIAL,3920.9406899699434,3881.976400012337,3959.90497992755,5532103.346788621,14000
124,1,0.7,1,HYPEREXPONENTIAL,4204.940009394804,4164.786475322195,4245.093543467414,6294663.707677656,15000
125,1,0.7,1,HYPEREXPONENTIAL,4492.530684627259,4451.1113699204025,4533.949999334115,7144369.4624401685,16000
126,1,0.7,1,HYPEREXPONENTIAL,4780.3561455754425,4737.701330836022,4823.010960314863,8050577.069488972,17000
127,1,0.7,1,HYPEREXPONENTIAL,5065.663157150288,5021.862058082298,5109.464256218277,8988514.595650706,18000
128,1,0.7,1,HYPEREXPONENTIAL,5358.6711030457445,5313.561141188978,5403.781064902511,10063452.521513544,19000
129,1,0.7,1,HYPEREXPONENTIAL,2758.9823917442695,2725.7522168081377,2792.2125666804013,2873848.8686028025,10000
130,1,0.7,1,HYPEREXPONENTIAL,3350.605686911074,3314.098173371895,3387.113200450253,4162573.8655266534,12000
131,1,0.7,1,HYPEREXPONENTIAL,3920.9406899699434,3881.976400012337,3959.90497992755,5532103.346788621,14000
132,1,0.7,1,HYPEREXPONENTIAL,4492.530684627259,4451.1113699204025,4533.949999334115,7144369.4624401685,16000
