,n,rho,mu,distribution,mean_waiting_time,ci_lower,ci_upper,variance,number_of_customers
0,1,0.7,1,M_D_N,0.9292913408085414,0.7583450918346198,1.1002375897824628,0.7422339925739391,100
1,1,0.7,1,M_D_N,1.1568852746174756,1.0456228360554822,1.268147713179469,1.9257299981941127,600
2,1,0.7,1,M_D_N,1.2249332742946082,1.1320298166029625,1.3178367319862538,2.2413753740700066,1000
3,1,0.7,1,M_D_N,1.2121095555728771,1.1476082845626705,1.2766108265830838,2.1634371711986353,2000
4,1,0.7,1,M_D_N,1.1184594833829518,1.0680968633863155,1.168822103379588,1.9792063759590515,3000
5,1,0.7,1,M_D_N,1.0354993496631963,0.9947702291830987,1.076228470143294,1.7262788175196047,4000
6,1,0.7,1,M_D_N,1.0217464544859274,0.9858361875021576,1.0576567214696972,1.6776476844988673,5000
7,1,0.7,1,M_D_N,1.04519987282843,1.012028464223889,1.078371281432971,1.7179385758665513,6000
8,1,0.7,1,M_D_N,1.0814444267261285,1.0496709718042807,1.1132178816479763,1.8389948739614204,7000
9,1,0.7,1,M_D_N,1.0743242682192649,1.0449878257914142,1.1036607106471155,1.7917493623318073,8000
10,1,0.7,1,M_D_N,1.0799246077140157,1.0520176204321632,1.1078315949958681,1.8241283942180158,9000
11,1,0.7,1,M_D_N,1.0786692133707996,1.052328276225464,1.1050101505161352,1.8057645147212826,10000
12,1,0.7,1,M_D_N,1.1116602272182285,1.0857468137937114,1.1375736406427457,1.9224283549361527,11000
13,1,0.7,1,M_D_N,1.0999033015369912,1.0753888374046625,1.12441776566932,1.8769048303029252,12000
14,1,0.7,1,M_D_N,1.1014707121693106,1.077985672762618,1.1249557515760031,1.8661600025133491,13000
15,1,0.7,1,M_D_N,1.1063845010966442,1.0835424630059431,1.1292265391873453,1.9011940849594937,14000
16,1,0.7,1,M_D_N,1.1063872008526212,1.084379755979831,1.1283946457254115,1.8908811290433032,15000
17,1,0.7,1,M_D_N,1.108332142113978,1.0869198931642796,1.1297443910636764,1.9093372937355944,16000
