,n,rho,mu,distribution,mean_waiting_time,ci_lower,ci_upper,variance,number_of_customers,t_stat,p_value
0,1,0.7,1,M_M_1_K,2.6497039265430193,2.167199687963043,3.1322081651229956,5.913218873882666,100,-418.27171569323605,0.0
1,1,0.7,1,M_M_1_K,2.3457095306391964,2.1251074825425795,2.5663115787358133,7.570373861456422,600,-418.27171569323605,0.0
2,1,0.7,1,M_M_1_K,2.0886558952753886,1.927272999060742,2.2500387914900353,6.763412105802232,1000,-418.27171569323605,0.0
3,1,0.7,1,M_M_1_K,1.8873826846124462,1.809459249901628,1.9653061193232644,6.318835538409096,4000,-418.27171569323605,0.0
4,1,0.7,1,M_M_1_K,1.9823809225284397,1.9218410211227632,2.042920823934116,6.676287887545223,7000,-418.27171569323605,0.0
5,1,0.7,1,M_M_1_K,1.9252708994250207,1.875766278854474,1.9747755199955674,6.378082650462138,10000,-418.27171569323605,0.0
6,1,0.7,1,M_M_1_K,1.8756501437863027,1.8333034720144297,1.9179968155581757,6.067431136112949,13000,-418.27171569323605,0.0
7,1,0.7,1,M_M_1_K,1.8651398714726084,1.8271926498053384,1.9030870931398784,5.99677916121861,16000,-418.27171569323605,0.0
8,1,0.7,1,M_M_1_K,1.9015785349958376,1.866515637748313,1.9366414322433623,6.079917415456001,19000,-418.27171569323605,0.0
9,1,0.7,1,M_M_1_K,1.9252708994250207,1.875766278854474,1.9747755199955674,6.378082650462138,10000,-418.27171569323605,0.0
10,1,0.7,1,M_M_1_K,1.8806504478194528,1.8364338234158626,1.924867072223043,6.106166078850815,12000,-418.27171569323605,0.0
11,1,0.7,1,M_M_1_K,1.8798183277662803,1.8388878311231471,1.9207488244094135,6.104509588960305,14000,-418.27171569323605,0.0
12,1,0.7,1,M_M_1_K,1.8651398714726084,1.8271926498053384,1.9030870931398784,5.99677916121861,16000,-418.27171569323605,0.0
13,1,0.7,1,M_M_1_K,1.893830917892065,1.8577933906044755,1.9298684451796544,6.084541818682265,18000,-418.27171569323605,0.0
14,1,0.7,1,M_M_1_K,1.912657990233006,1.8783535730785652,1.946962407387447,6.126061237082852,20000,-418.27171569323605,0.0
15,1,0.7,1,M_M_1_K,1.9066766662224595,1.874132698658617,1.9392206337863018,6.064844990164431,22000,-418.27171569323605,0.0
16,1,0.7,1,M_M_1_K,1.9389120197041962,1.9071434226790152,1.9706806167293773,6.30474206625633,24000,-418.27171569323605,0.0
17,1,0.7,1,M_M_1_K,1.933968308230689,1.9035789939806282,1.96435762248075,6.249978577139127,26000,-418.27171569323605,0.0
18,1,0.7,1,M_M_1_K,1.9389289051184566,1.9095417676675528,1.9683160425693604,6.2941758017051725,28000,-418.27171569323605,0.0
19,1,0.7,1,M_M_1_K,1.9629960728505087,1.9345952500916122,1.9913968956094052,6.298713725661423,30000,-418.27171569323605,0.0
20,1,0.7,1,M_M_1_K,1.9888904056759718,1.9610866995123055,2.016694111839638,6.43911707589496,32000,-418.27171569323605,0.0
