,n,rho,mu,distribution,mean_waiting_time,ci_lower,ci_upper,variance,number_of_customers
0,1,0.7,1,M_M_N_K,1.992439525423149,1.6456923709040432,2.3391866799422547,3.053848587572472,100
1,1,0.7,1,M_M_N_K,1.3610375008441151,1.2290282212232728,1.4930467804649574,2.7108604996903964,600
2,1,0.7,1,M_M_N_K,1.5552658534606962,1.4367827527979702,1.6737489541234223,3.64555506252603,1000
3,1,0.7,1,M_M_N_K,1.9757597653054764,1.900468055421903,2.05105147518905,5.899228223336707,4000
4,1,0.7,1,M_M_N_K,2.1020666384217512,2.0404730787495104,2.163660198093992,6.9107032556032175,7000
5,1,0.7,1,M_M_N_K,2.1411040227252847,2.089139713517811,2.1930683319327584,7.027631600274917,10000
6,1,0.7,1,M_M_N_K,2.105418005709152,2.0603080117935546,2.1505279996247495,6.8851249711012,13000
7,1,0.7,1,M_M_N_K,2.1429587980431126,2.1016045022759715,2.1843130938102537,7.121956984801857,16000
8,1,0.7,1,M_M_N_K,2.1037750512014863,2.0660731846274727,2.1414769177755,7.029554243217534,19000
9,1,0.7,1,M_M_N_K,2.1411040227252847,2.089139713517811,2.1930683319327584,7.027631600274917,10000
10,1,0.7,1,M_M_N_K,2.129267561235554,2.0817006574999155,2.1768344649711926,7.06654630463417,12000
11,1,0.7,1,M_M_N_K,2.0876151869377244,2.0443428731668516,2.1308875007085972,6.823025379218879,14000
12,1,0.7,1,M_M_N_K,2.1429587980431126,2.1016045022759715,2.1843130938102537,7.121956984801857,16000
13,1,0.7,1,M_M_N_K,2.1414563453863207,2.1022972831333275,2.180615407639314,7.184267228753068,18000
14,1,0.7,1,M_M_N_K,2.097702886608068,2.061165741794236,2.1342400314218994,6.949450358437458,20000
15,1,0.7,1,M_M_N_K,2.0837717167140184,2.0492856678338662,2.1182577655941706,6.810289713043042,22000
16,1,0.7,1,M_M_N_K,2.0687965549019376,2.0360232155401605,2.1015698942637147,6.709847385371646,24000
17,1,0.7,1,M_M_N_K,2.087207749259793,2.0554778486438545,2.1189376498757317,6.81356105824604,26000
18,1,0.7,1,M_M_N_K,2.0989012923612322,2.0682897555940842,2.1295128291283802,6.829588950838721,28000
19,1,0.7,1,M_M_N_K,2.125764568119918,2.0959524362425137,2.1555766999973223,6.940265658082224,30000
20,1,0.7,1,M_M_N_K,2.12787531496868,2.098894099267721,2.156856530669639,6.996069895814556,32000
21,1,0.7,1,M_M_N_K,2.121842214891686,2.093793427977595,2.1498910018057766,6.962736805534973,34000
22,1,0.7,1,M_M_N_K,2.1150749763437644,2.0878662056487225,2.1422837470388063,6.937371560162445,36000
23,1,0.7,1,M_M_N_K,2.10459508554085,2.078262696164828,2.1309274749168723,6.858675946240907,38000
24,1,0.7,1,M_M_N_K,2.617423355641797,1.925747395371845,3.309099315911749,12.151420566676551,100
25,1,0.7,1,M_M_N_K,1.7875307874677613,1.5841537372374108,1.9909078376981117,6.43431228648665,600
26,1,0.7,1,M_M_N_K,2.641230892164762,2.4555545066107785,2.826907277718745,8.952909345763402,1000
27,1,0.7,1,M_M_N_K,2.0950103960375905,2.01381270113513,2.176208090940051,6.861013573101313,4000
28,1,0.7,1,M_M_N_K,1.9894180004768272,1.9286678888357731,2.050168112117881,6.722731986123006,7000
29,1,0.7,1,M_M_N_K,1.9030874858001152,1.854062406054901,1.9521125655453295,6.255114846098356,10000
30,1,0.7,1,M_M_N_K,1.9604860985475192,1.9164916571539772,2.0044805399410612,6.54880269375924,13000
31,1,0.7,1,M_M_N_K,1.9578335196162007,1.917766459333743,1.9979005798986584,6.685486961589688,16000
32,1,0.7,1,M_M_N_K,1.9583720450893904,1.9218408550998984,1.9949032350788825,6.59978398516725,19000
33,1,0.7,1,M_M_N_K,1.9030874858001152,1.854062406054901,1.9521125655453295,6.255114846098356,10000
34,1,0.7,1,M_M_N_K,1.9336236737067212,1.88823514075827,1.9790122066551723,6.434128565801215,12000
35,1,0.7,1,M_M_N_K,1.962088177091977,1.9198013234101488,2.004375030773805,6.5157962841398875,14000
36,1,0.7,1,M_M_N_K,1.9578335196162007,1.917766459333743,1.9979005798986584,6.685486961589688,16000
37,1,0.7,1,M_M_N_K,1.946466160925733,1.9089748048153459,1.98395751703612,6.585370460131971,18000
38,1,0.7,1,M_M_N_K,1.9352211184974883,1.8998028482883873,1.9706393887065894,6.530342172816179,20000
