,n,rho,mu,distribution,mean_waiting_time,ci_lower,ci_upper,variance,number_of_customers,t_stat,p_value
0,1,0.7,1,M_M_N,7.030398146869839,5.731076222992527,8.32972007074715,42.88004395550519,100,-6.7228985009499125,1.7822006989598687e-11
1,1,0.7,1,M_M_N,2.6323756407523393,2.3144245349853922,2.9503267465192864,15.726023729811903,600,-6.7228985009499125,1.7822006989598687e-11
2,1,0.7,1,M_M_N,2.7805121011097693,2.5406435388669886,3.02038066335255,14.941613708210383,1000,-6.7228985009499125,1.7822006989598687e-11
3,1,0.7,1,M_M_N,2.2131268920275122,2.1174958630696095,2.308757920985415,9.516966379892,4000,-6.7228985009499125,1.7822006989598687e-11
4,1,0.7,1,M_M_N,2.2514579812511695,2.1809181154705355,2.3219978470318035,9.06402082920721,7000,-6.7228985009499125,1.7822006989598687e-11
5,1,0.7,1,M_M_N,2.2303333444498943,2.171664482762604,2.2890022061371846,8.95806056373865,10000,-6.7228985009499125,1.7822006989598687e-11
6,1,0.7,1,M_M_N,2.2605143491274724,2.2099980766615994,2.3110306215933454,8.634334797284257,13000,-6.7228985009499125,1.7822006989598687e-11
7,1,0.7,1,M_M_N,2.2943903504720558,2.247982349939889,2.3407983510042225,8.968995418028124,16000,-6.7228985009499125,1.7822006989598687e-11
8,1,0.7,1,M_M_N,2.2181646116209888,2.1764642847474858,2.2598649384944918,8.599654448137695,19000,-6.7228985009499125,1.7822006989598687e-11
9,1,0.7,1,M_M_N,2.2303333444498943,2.171664482762604,2.2890022061371846,8.95806056373865,10000,-6.7228985009499125,1.7822006989598687e-11
10,1,0.7,1,M_M_N,2.201578247011448,2.1491901677751657,2.2539663262477307,8.571609840025,12000,-6.7228985009499125,1.7822006989598687e-11
11,1,0.7,1,M_M_N,2.260490745941537,2.2110519020679233,2.3099295898151504,8.906218877654137,14000,-6.7228985009499125,1.7822006989598687e-11
12,1,0.7,1,M_M_N,2.2943903504720558,2.247982349939889,2.3407983510042225,8.968995418028124,16000,-6.7228985009499125,1.7822006989598687e-11
13,1,0.7,1,M_M_N,2.2037931991573916,2.161148289257052,2.2464381090577312,8.52024953364702,18000,-6.7228985009499125,1.7822006989598687e-11
14,1,0.7,1,M_M_N,2.2055933026839916,2.16515217632739,2.246034429040593,8.513884023338385,20000,-6.7228985009499125,1.7822006989598687e-11
15,1,0.7,1,M_M_N,2.1877681810266036,2.1494291329961532,2.226107229057054,8.417078132564919,22000,-6.7228985009499125,1.7822006989598687e-11
16,1,0.7,1,M_M_N,2.1730181353100626,2.1364905079432335,2.2095457626768917,8.335164584251379,24000,-6.7228985009499125,1.7822006989598687e-11
17,1,0.7,1,M_M_N,2.152300924529798,2.117650369675651,2.186951479383945,8.125631351023076,26000,-6.7228985009499125,1.7822006989598687e-11
18,1,0.7,1,M_M_N,2.1409989680982844,2.1079231921992583,2.1740747439973105,7.973415240541804,28000,-6.7228985009499125,1.7822006989598687e-11
19,1,0.7,1,M_M_N,2.1646341875798965,2.132411529050183,2.19685684610961,8.10798180104377,30000,-6.7228985009499125,1.7822006989598687e-11
20,1,0.7,1,M_M_N,2.1461773473807506,2.115250726734712,2.177103968026789,7.966835972288186,32000,-6.7228985009499125,1.7822006989598687e-11
21,1,0.7,1,M_M_N,2.166730306775101,2.136354787966275,2.197105825583927,8.165809073787493,34000,-6.7228985009499125,1.7822006989598687e-11
22,1,0.7,1,M_M_N,2.178544566021081,2.148872950581428,2.208216181460734,8.250105414684203,36000,-6.7228985009499125,1.7822006989598687e-11
23,1,0.7,1,M_M_N,2.165885601175264,2.1372405686005846,2.1945306337499435,8.11630554987152,38000,-6.7228985009499125,1.7822006989598687e-11
24,1,0.7,1,M_M_N,1.4175181744974867,1.0566331263238804,1.778403222671093,3.3079540422795994,100,-6.7228985009499125,1.7822006989598687e-11
