,n,rho,mu,distribution,mean_waiting_time,ci_lower,ci_upper,variance,number_of_customers
0,1,0.7,1,SHORTEST_JOB_FIRST,1.3010046947824239,0.9313048175601114,1.6707045720047362,3.471525035193199,100
1,1,0.7,1,SHORTEST_JOB_FIRST,1.151528822919483,1.003261482746522,1.2997961630924442,3.4197097022460166,600
2,1,0.7,1,SHORTEST_JOB_FIRST,1.5136254482138916,1.3298417215655585,1.6974091748622246,8.771319838325097,1000
3,1,0.7,1,SHORTEST_JOB_FIRST,1.4375452382495428,1.3046369748174595,1.5704535016816261,9.18568840542466,2000
4,1,0.7,1,SHORTEST_JOB_FIRST,1.3224148981537893,1.2210119223887068,1.4238178739188718,8.023721589461248,3000
5,1,0.7,1,SHORTEST_JOB_FIRST,1.2951189322051047,1.209944786871582,1.3802930775386273,7.549469703054306,4000
6,1,0.7,1,SHORTEST_JOB_FIRST,1.2746009801510876,1.2016193483542112,1.347582611947964,6.929320240132447,5000
7,1,0.7,1,SHORTEST_JOB_FIRST,1.2340617654266313,1.1710225669310899,1.2971009639221727,6.204419716472993,6000
8,1,0.7,1,SHORTEST_JOB_FIRST,1.2724626440994742,1.2086125333946134,1.336312754804335,7.4263420083077145,7000
9,1,0.7,1,SHORTEST_JOB_FIRST,1.297469731334202,1.23533195104021,1.359607511628194,8.038478150027423,8000
10,1,0.7,1,SHORTEST_JOB_FIRST,1.303179242992829,1.2449970114616766,1.3613614745239815,7.9288507540805755,9000
11,1,0.7,1,SHORTEST_JOB_FIRST,1.3215780789834009,1.264655571444242,1.3785005865225597,8.432701295176551,10000
12,1,0.7,1,SHORTEST_JOB_FIRST,1.3384881672209856,1.2836559377613737,1.3933203966805976,8.607414645785056,11000
13,1,0.7,1,SHORTEST_JOB_FIRST,1.3162535518890315,1.2649957661071969,1.367511337670866,8.205728183745352,12000
14,1,0.7,1,SHORTEST_JOB_FIRST,1.3050123381395697,1.2563454232900806,1.353679252989059,8.01371553434514,13000
15,1,0.7,1,SHORTEST_JOB_FIRST,1.3399982413905966,1.2900968134569022,1.389899669324291,9.073664099481206,14000
16,1,0.7,1,SHORTEST_JOB_FIRST,1.3429049382479856,1.2945948213690524,1.391215055126919,9.111736640753406,15000
17,1,0.7,1,SHORTEST_JOB_FIRST,1.348749340653127,1.3017842281234138,1.3957144531828403,9.185627332062314,16000
18,1,0.7,1,SHORTEST_JOB_FIRST,1.3590834853355573,1.313155149751811,1.4050118209193037,9.333667079845174,17000
19,1,0.7,1,SHORTEST_JOB_FIRST,1.345300402858697,1.3014428277757368,1.3891579779416572,9.011708659807727,18000
